,Year,Month,Unemployment Rate,Date,Age,Unemployment level,Employment Level,RoC_Unemployment_level,RoC_Unemployment_rate,RoC_Employment_level
1615,1997,Jun,3.7,1997-06,35 to 44 years,1392,35867,-45,0.2,829
1616,1998,Jun,3.4,1998-06,35 to 44 years,1264,36239,-128,0.3,372
1617,1999,Jun,3.3,1999-06,35 to 44 years,1251,36765,-13,0.1,526
1618,2000,Jun,3.1,2000-06,35 to 44 years,1163,36416,-88,0.2,-349
1619,2001,Jun,3.5,2001-06,35 to 44 years,1289,36025,126,-0.4,-391
1620,2002,Jun,4.3,2002-06,35 to 44 years,1581,35208,292,-0.8,-817
1621,2003,Jun,5.3,2003-06,35 to 44 years,1956,34842,375,-1,-366
1622,2004,Jun,4.6,2004-06,35 to 44 years,1680,34640,-276,0.7,-202
1623,2005,Jun,3.8,2005-06,35 to 44 years,1382,34631,-298,0.8,-9
1624,2006,Jun,3.5,2006-06,35 to 44 years,1238,34515,-144,0.3,-116
1625,2007,Jun,3.3,2007-06,35 to 44 years,1164,34192,-74,0.2,-323
1626,2008,Jun,4.4,2008-06,35 to 44 years,1558,33627,394,-1.1,-565
1627,2009,Jun,8.1,2009-06,35 to 44 years,2801,31700,1243,-3.7,-1927
1628,2010,Jun,7.8,2010-06,35 to 44 years,2588,30777,-213,0.3,-923
1629,2011,Jun,7.7,2011-06,35 to 44 years,2517,30227,-71,0.1,-550
1630,2012,Jun,7,2012-06,35 to 44 years,2306,30495,-211,0.7,268
1631,2013,Jun,5.9,2013-06,35 to 44 years,1934,30587,-372,1.1,92
1632,2014,Jun,4.7,2014-06,35 to 44 years,1512,30953,-422,1.2,366
1633,2015,Jun,4,2015-06,35 to 44 years,1295,31306,-217,0.7,353
1634,2016,Jun,3.8,2016-06,35 to 44 years,1242,31569,-53,0.2,263
1635,2017,Jun,3.2,2017-06,35 to 44 years,1074,31987,-168,0.6,418
1636,2018,Jun,3,2018-06,35 to 44 years,1003,32625,-71,0.2,638
1637,2019,Jun,2.7,2019-06,35 to 44 years,912,33041,-91,0.3,416
1638,2020,Jun,9,2020-06,35 to 44 years,3057,31014,2145,-6.3,-2027
1639,2021,Jun,5.3,2021-06,35 to 44 years,1830,32640,-1227,3.7,1626
1640,2022,Jun,3.2,2022-06,35 to 44 years,1141,34520,-689,2.1,1880
1641,2023,Jun,2.9,2023-06,35 to 44 years,1070,35391,-71,0.3,871
1642,1969,Jul,2.2,1969-07,35 to 44 years,363,16084,-707,0.7,-19307
1643,1970,Jul,3.1,1970-07,35 to 44 years,509,15924,146,-0.9,-160
1644,1971,Jul,4,1971-07,35 to 44 years,648,15640,139,-0.9,-284
1645,1972,Jul,3.7,1972-07,35 to 44 years,612,15772,-36,0.3,132
1646,1973,Jul,2.5,1973-07,35 to 44 years,417,16062,-195,1.2,290
1647,1974,Jul,3.1,1974-07,35 to 44 years,531,16365,114,-0.6,303
1648,1975,Jul,5.3,1975-07,35 to 44 years,900,15986,369,-2.2,-379
1649,1976,Jul,5.2,1976-07,35 to 44 years,891,16388,-9,0.1,402
1650,1977,Jul,4.4,1977-07,35 to 44 years,795,17175,-96,0.8,787
1651,1978,Jul,3.7,1978-07,35 to 44 years,703,18127,-92,0.7,952
1652,1979,Jul,3.3,1979-07,35 to 44 years,656,19053,-47,0.4,926
1653,1980,Jul,5.2,1980-07,35 to 44 years,1070,19468,414,-1.9,415
1654,1981,Jul,4.6,1981-07,35 to 44 years,965,20190,-105,0.6,722
1655,1982,Jul,6.7,1982-07,35 to 44 years,1517,21006,552,-2.1,816
1656,1983,Jul,7.1,1983-07,35 to 44 years,1688,21996,171,-0.4,990
1657,1984,Jul,5.4,1984-07,35 to 44 years,1341,23671,-347,1.7,1675
1658,1985,Jul,5.2,1985-07,35 to 44 years,1358,24697,17,0.2,1026
1659,1986,Jul,5,1986-07,35 to 44 years,1356,25957,-2,0.2,1260
1660,1987,Jul,4.6,1987-07,35 to 44 years,1298,27228,-58,0.4,1271
1661,1988,Jul,3.9,1988-07,35 to 44 years,1153,28285,-145,0.7,1057
1662,1989,Jul,3.8,1989-07,35 to 44 years,1151,29406,-2,0.1,1121
1663,1990,Jul,4.2,1990-07,35 to 44 years,1350,30760,199,-0.4,1354
1664,1991,Jul,5,1991-07,35 to 44 years,1680,31629,330,-0.8,869
1665,1992,Jul,5.9,1992-07,35 to 44 years,2010,31953,330,-0.9,324
1666,1993,Jul,5.3,1993-07,35 to 44 years,1853,32795,-157,0.6,842
1667,1994,Jul,4.6,1994-07,35 to 44 years,1616,33628,-237,0.7,833
1668,1995,Jul,4.5,1995-07,35 to 44 years,1593,34046,-23,0.1,418
1669,1996,Jul,4.1,1996-07,35 to 44 years,1516,35065,-77,0.4,1019
1670,1997,Jul,3.6,1997-07,35 to 44 years,1354,36118,-162,0.5,1053
1671,1998,Jul,3.3,1998-07,35 to 44 years,1225,36368,-129,0.3,250
1672,1999,Jul,3.1,1999-07,35 to 44 years,1172,36687,-53,0.2,319
1673,2000,Jul,3.1,2000-07,35 to 44 years,1148,36439,-24,0,-248
1674,2001,Jul,3.7,2001-07,35 to 44 years,1366,35902,218,-0.6,-537
1675,2002,Jul,4.6,2002-07,35 to 44 years,1672,34984,306,-0.9,-918
1676,2003,Jul,5.2,2003-07,35 to 44 years,1889,34724,217,-0.6,-260
1677,2004,Jul,4.3,2004-07,35 to 44 years,1572,34649,-317,0.9,-75
1678,2005,Jul,3.7,2005-07,35 to 44 years,1351,34719,-221,0.6,70
1679,2006,Jul,3.6,2006-07,35 to 44 years,1285,34471,-66,0.1,-248
1680,2007,Jul,3.8,2007-07,35 to 44 years,1331,34101,46,-0.2,-370
1681,2008,Jul,4.7,2008-07,35 to 44 years,1641,33553,310,-0.9,-548
1682,2009,Jul,7.9,2009-07,35 to 44 years,2702,31581,1061,-3.2,-1972
1683,2010,Jul,7.9,2010-07,35 to 44 years,2610,30620,-92,0,-961
1684,2011,Jul,7,2011-07,35 to 44 years,2272,30295,-338,0.9,-325
1685,2012,Jul,6.7,2012-07,35 to 44 years,2202,30530,-70,0.3,235
1686,2013,Jul,5.9,2013-07,35 to 44 years,1917,30746,-285,0.8,216
1687,2014,Jul,4.8,2014-07,35 to 44 years,1549,30846,-368,1.1,100
1688,2015,Jul,4.1,2015-07,35 to 44 years,1340,31248,-209,0.7,402
1689,2016,Jul,3.4,2016-07,35 to 44 years,1113,31639,-227,0.7,391
1690,2017,Jul,3.4,2017-07,35 to 44 years,1134,31904,21,0,265
1691,2018,Jul,2.9,2018-07,35 to 44 years,983,32726,-151,0.5,822
1692,2019,Jul,2.7,2019-07,35 to 44 years,925,33092,-58,0.2,366
1693,2020,Jul,8,2020-07,35 to 44 years,2744,31392,1819,-5.3,-1700
1694,2021,Jul,4.6,2021-07,35 to 44 years,1599,32926,-1145,3.4,1534
1695,2022,Jul,2.7,2022-07,35 to 44 years,972,34619,-627,1.9,1693
1696,2023,Jul,3,2023-07,35 to 44 years,1093,35379,121,-0.3,760
1697,1969,Aug,2.2,1969-08,35 to 44 years,369,16107,-724,0.8,-19272
1698,1970,Aug,3.2,1970-08,35 to 44 years,529,15865,160,-1,-242
1699,1971,Aug,4.1,1971-08,35 to 44 years,676,15634,147,-0.9,-231
1700,1972,Aug,3.7,1972-08,35 to 44 years,600,15808,-76,0.4,174
1701,1973,Aug,2.6,1973-08,35 to 44 years,427,16047,-173,1.1,239
1702,1974,Aug,3.3,1974-08,35 to 44 years,551,16280,124,-0.7,233
1703,1975,Aug,5.6,1975-08,35 to 44 years,945,16071,394,-2.3,-209
1704,1976,Aug,4.9,1976-08,35 to 44 years,860,16542,-85,0.7,471
1705,1977,Aug,4.3,1977-08,35 to 44 years,771,17235,-89,0.6,693
1706,1978,Aug,3.7,1978-08,35 to 44 years,706,18174,-65,0.6,939
1707,1979,Aug,3.8,1979-08,35 to 44 years,749,19091,43,-0.1,917
1708,1980,Aug,5.3,1980-08,35 to 44 years,1087,19461,338,-1.5,370
1709,1981,Aug,4.6,1981-08,35 to 44 years,977,20310,-110,0.7,849
1710,1982,Aug,7,1982-08,35 to 44 years,1588,21049,611,-2.4,739
1711,1983,Aug,6.7,1983-08,35 to 44 years,1594,22183,6,0.3,1134
1712,1984,Aug,5.6,1984-08,35 to 44 years,1412,23648,-182,1.1,1465
1713,1985,Aug,5.1,1985-08,35 to 44 years,1339,24823,-73,0.5,1175
1714,1986,Aug,4.9,1986-08,35 to 44 years,1351,26098,12,0.2,1275
1715,1987,Aug,4.4,1987-08,35 to 44 years,1248,27306,-103,0.5,1208
1716,1988,Aug,4,1988-08,35 to 44 years,1197,28407,-51,0.4,1101
1717,1989,Aug,3.8,1989-08,35 to 44 years,1171,29553,-26,0.2,1146
1718,1990,Aug,4.2,1990-08,35 to 44 years,1369,30849,198,-0.4,1296
1719,1991,Aug,5.3,1991-08,35 to 44 years,1759,31692,390,-1.1,843
1720,1992,Aug,5.9,1992-08,35 to 44 years,2017,31979,258,-0.6,287
1721,1993,Aug,5.3,1993-08,35 to 44 years,1836,32951,-181,0.6,972
1722,1994,Aug,4.6,1994-08,35 to 44 years,1609,33555,-227,0.7,604
1723,1995,Aug,4.4,1995-08,35 to 44 years,1566,34066,-43,0.2,511
1724,1996,Aug,4,1996-08,35 to 44 years,1484,35220,-82,0.4,1154
1725,1997,Aug,3.6,1997-08,35 to 44 years,1369,36356,-115,0.4,1136
1726,1998,Aug,3.2,1998-08,35 to 44 years,1219,36387,-150,0.4,31
1727,1999,Aug,3.2,1999-08,35 to 44 years,1210,36684,-9,0,297
1728,2000,Aug,3.1,2000-08,35 to 44 years,1172,36287,-38,0.1,-397
1729,2001,Aug,3.7,2001-08,35 to 44 years,1387,35866,215,-0.6,-421
1730,2002,Aug,4.4,2002-08,35 to 44 years,1610,35140,223,-0.7,-726
1731,2003,Aug,5,2003-08,35 to 44 years,1819,34829,209,-0.6,-311
1732,2004,Aug,4.3,2004-08,35 to 44 years,1560,34532,-259,0.7,-297
1733,2005,Aug,3.7,2005-08,35 to 44 years,1326,34673,-234,0.6,141
1734,2006,Aug,3.8,2006-08,35 to 44 years,1368,34570,42,-0.1,-103
1735,2007,Aug,3.6,2007-08,35 to 44 years,1259,34176,-109,0.2,-394
1736,2008,Aug,5.1,2008-08,35 to 44 years,1786,33221,527,-1.5,-955
1737,2009,Aug,8.2,2009-08,35 to 44 years,2819,31460,1033,-3.1,-1761
1738,2010,Aug,7.7,2010-08,35 to 44 years,2562,30635,-257,0.5,-825
1739,2011,Aug,7.7,2011-08,35 to 44 years,2513,30052,-49,0,-583
1740,2012,Aug,6.6,2012-08,35 to 44 years,2170,30588,-343,1.1,536
1741,2013,Aug,5.6,2013-08,35 to 44 years,1843,30779,-327,1,191
1742,2014,Aug,4.8,2014-08,35 to 44 years,1557,30953,-286,0.8,174
1743,2015,Aug,3.8,2015-08,35 to 44 years,1251,31371,-306,1,418
1744,2016,Aug,4,2016-08,35 to 44 years,1321,31431,70,-0.2,60
1745,2017,Aug,3.3,2017-08,35 to 44 years,1094,31856,-227,0.7,425
1746,2018,Aug,2.8,2018-08,35 to 44 years,946,32658,-148,0.5,802
1747,2019,Aug,2.7,2019-08,35 to 44 years,928,33155,-18,0.1,497
1748,2020,Aug,6.5,2020-08,35 to 44 years,2206,31960,1278,-3.8,-1195
1749,2021,Aug,4.3,2021-08,35 to 44 years,1489,32918,-717,2.2,958
1750,2022,Aug,2.9,2022-08,35 to 44 years,1029,34689,-460,1.4,1771
1751,2023,Aug,3,2023-08,35 to 44 years,1085,35478,56,-0.1,789
1752,1969,Sep,2.4,1969-09,35 to 44 years,389,16090,-696,0.6,-19388
1753,1970,Sep,3.3,1970-09,35 to 44 years,543,15817,154,-0.9,-273
1754,1971,Sep,3.9,1971-09,35 to 44 years,642,15645,99,-0.6,-172
1755,1972,Sep,3.5,1972-09,35 to 44 years,574,15797,-68,0.4,152
1756,1973,Sep,2.7,1973-09,35 to 44 years,445,16068,-129,0.8,271
1757,1974,Sep,3.6,1974-09,35 to 44 years,600,16237,155,-0.9,169
1758,1975,Sep,5.5,1975-09,35 to 44 years,931,16039,331,-1.9,-198
1759,1976,Sep,5.1,1976-09,35 to 44 years,893,16574,-38,0.4,535
1760,1977,Sep,4.1,1977-09,35 to 44 years,747,17258,-146,1,684
1761,1978,Sep,3.5,1978-09,35 to 44 years,664,18298,-83,0.6,1040
1762,1979,Sep,3.8,1979-09,35 to 44 years,756,19166,92,-0.3,868
1763,1980,Sep,4.8,1980-09,35 to 44 years,985,19597,229,-1,431
1764,1981,Sep,5,1981-09,35 to 44 years,1072,20290,87,-0.2,693
1765,1982,Sep,7.1,1982-09,35 to 44 years,1612,21049,540,-2.1,759
1766,1983,Sep,6.7,1983-09,35 to 44 years,1613,22301,1,0.4,1252
1767,1984,Sep,5.5,1984-09,35 to 44 years,1380,23776,-233,1.2,1475
1768,1985,Sep,5.1,1985-09,35 to 44 years,1326,24912,-54,0.4,1136
1769,1986,Sep,4.9,1986-09,35 to 44 years,1348,26200,22,0.2,1288
1770,1987,Sep,4.5,1987-09,35 to 44 years,1283,27420,-65,0.4,1220
1771,1988,Sep,3.7,1988-09,35 to 44 years,1101,28576,-182,0.8,1156
1772,1989,Sep,4,1989-09,35 to 44 years,1221,29502,120,-0.3,926
1773,1990,Sep,4.5,1990-09,35 to 44 years,1452,30896,231,-0.5,1394
1774,1991,Sep,5.2,1991-09,35 to 44 years,1732,31842,280,-0.7,946
1775,1992,Sep,5.9,1992-09,35 to 44 years,1998,31961,266,-0.7,119
1776,1993,Sep,5.3,1993-09,35 to 44 years,1823,32849,-175,0.6,888
1777,1994,Sep,4.8,1994-09,35 to 44 years,1697,33815,-126,0.5,966
1778,1995,Sep,4.2,1995-09,35 to 44 years,1492,34321,-205,0.6,506
1779,1996,Sep,4.2,1996-09,35 to 44 years,1529,35176,37,0,855
1780,1997,Sep,3.7,1997-09,35 to 44 years,1376,36248,-153,0.5,1072
1781,1998,Sep,3.2,1998-09,35 to 44 years,1202,36366,-174,0.5,118
1782,1999,Sep,3.1,1999-09,35 to 44 years,1180,36759,-22,0.1,393
1783,2000,Sep,2.9,2000-09,35 to 44 years,1090,36444,-90,0.2,-315
1784,2001,Sep,4,2001-09,35 to 44 years,1482,35624,392,-1.1,-820
1785,2002,Sep,4.6,2002-09,35 to 44 years,1672,35063,190,-0.6,-561
1786,2003,Sep,4.8,2003-09,35 to 44 years,1773,34805,101,-0.2,-258
1787,2004,Sep,4.5,2004-09,35 to 44 years,1626,34475,-147,0.3,-330
1788,2005,Sep,3.7,2005-09,35 to 44 years,1342,34787,-284,0.8,312
1789,2006,Sep,3.5,2006-09,35 to 44 years,1239,34538,-103,0.2,-249
1790,2007,Sep,3.3,2007-09,35 to 44 years,1165,34188,-74,0.2,-350
1791,2008,Sep,5.1,2008-09,35 to 44 years,1773,33256,608,-1.8,-932
1792,2009,Sep,8.6,2009-09,35 to 44 years,2955,31264,1182,-3.5,-1992
1793,2010,Sep,8.3,2010-09,35 to 44 years,2756,30569,-199,0.3,-695
1794,2011,Sep,7.5,2011-09,35 to 44 years,2444,30089,-312,0.8,-480
1795,2012,Sep,6.3,2012-09,35 to 44 years,2052,30645,-392,1.2,556
1796,2013,Sep,5.6,2013-09,35 to 44 years,1819,30754,-233,0.7,109
1797,2014,Sep,4.4,2014-09,35 to 44 years,1417,31029,-402,1.2,275
1798,2015,Sep,4,2015-09,35 to 44 years,1307,31352,-110,0.4,323
1799,2016,Sep,4.2,2016-09,35 to 44 years,1374,31570,67,-0.2,218
1800,2017,Sep,3.1,2017-09,35 to 44 years,1040,32082,-334,1.1,512
1801,2018,Sep,2.9,2018-09,35 to 44 years,966,32530,-74,0.2,448
1802,2019,Sep,2.5,2019-09,35 to 44 years,871,33451,-95,0.4,921
1803,2020,Sep,6.2,2020-09,35 to 44 years,2099,31723,1228,-3.7,-1728
1804,2021,Sep,3.9,2021-09,35 to 44 years,1338,32968,-761,2.3,1245
1805,2022,Sep,3,2022-09,35 to 44 years,1063,34619,-275,0.9,1651
1806,1969,Oct,2.1,1969-10,35 to 44 years,351,16129,-712,0.9,-18490
1807,1970,Oct,3.7,1970-10,35 to 44 years,603,15807,252,-1.6,-322
1808,1971,Oct,4,1971-10,35 to 44 years,653,15627,50,-0.3,-180
1809,1972,Oct,3.4,1972-10,35 to 44 years,563,15769,-90,0.6,142
1810,1973,Oct,2.4,1973-10,35 to 44 years,401,16108,-162,1,339
1811,1974,Oct,3.6,1974-10,35 to 44 years,611,16180,210,-1.2,72
1812,1975,Oct,5.6,1975-10,35 to 44 years,953,16049,342,-2,-131
1813,1976,Oct,4.9,1976-10,35 to 44 years,862,16608,-91,0.7,559
1814,1977,Oct,4.2,1977-10,35 to 44 years,755,17373,-107,0.7,765
1815,1978,Oct,3.6,1978-10,35 to 44 years,677,18373,-78,0.6,1000
1816,1979,Oct,3.7,1979-10,35 to 44 years,751,19289,74,-0.1,916
1817,1980,Oct,4.8,1980-10,35 to 44 years,992,19649,241,-1.1,360
1818,1981,Oct,5.3,1981-10,35 to 44 years,1137,20367,145,-0.5,718
1819,1982,Oct,7.6,1982-10,35 to 44 years,1740,21068,603,-2.3,701
1820,1983,Oct,6.3,1983-10,35 to 44 years,1500,22436,-240,1.3,1368
1821,1984,Oct,5.4,1984-10,35 to 44 years,1365,23891,-135,0.9,1455
1822,1985,Oct,4.8,1985-10,35 to 44 years,1268,25147,-97,0.6,1256
1823,1986,Oct,5.1,1986-10,35 to 44 years,1397,26260,129,-0.3,1113
1824,1987,Oct,4.6,1987-10,35 to 44 years,1315,27485,-82,0.5,1225
1825,1988,Oct,3.8,1988-10,35 to 44 years,1133,28669,-182,0.8,1184
1826,1989,Oct,3.9,1989-10,35 to 44 years,1199,29703,66,-0.1,1034
1827,1990,Oct,4.5,1990-10,35 to 44 years,1447,31051,248,-0.6,1348
1828,1991,Oct,5.2,1991-10,35 to 44 years,1743,31745,296,-0.7,694
1829,1992,Oct,5.9,1992-10,35 to 44 years,2015,32039,272,-0.7,294
1830,1993,Oct,5.7,1993-10,35 to 44 years,1985,32777,-30,0.2,738
1831,1994,Oct,4.3,1994-10,35 to 44 years,1529,33936,-456,1.4,1159
1832,1995,Oct,4.5,1995-10,35 to 44 years,1607,34343,78,-0.2,407
1833,1996,Oct,4.1,1996-10,35 to 44 years,1516,35364,-91,0.4,1021
1834,1997,Oct,3.7,1997-10,35 to 44 years,1378,36124,-138,0.4,760
1835,1998,Oct,3.3,1998-10,35 to 44 years,1228,36420,-150,0.4,296
1836,1999,Oct,2.9,1999-10,35 to 44 years,1096,36833,-132,0.4,413
1837,2000,Oct,2.8,2000-10,35 to 44 years,1038,36465,-58,0.1,-368
1838,2001,Oct,4.2,2001-10,35 to 44 years,1568,35639,530,-1.4,-826
1839,2002,Oct,4.8,2002-10,35 to 44 years,1770,34953,202,-0.6,-686
1840,2003,Oct,5,2003-10,35 to 44 years,1846,34772,76,-0.2,-181
1841,2004,Oct,4.1,2004-10,35 to 44 years,1471,34574,-375,0.9,-198
1842,2005,Oct,3.9,2005-10,35 to 44 years,1408,34577,-63,0.2,3
1843,2006,Oct,2.9,2006-10,35 to 44 years,1033,34631,-375,1,54
1844,2007,Oct,3.4,2007-10,35 to 44 years,1214,34058,181,-0.5,-573
1845,2008,Oct,5.4,2008-10,35 to 44 years,1885,33131,671,-2,-927
1846,2009,Oct,9,2009-10,35 to 44 years,3063,30952,1178,-3.6,-2179
1847,2010,Oct,7.8,2010-10,35 to 44 years,2602,30696,-461,1.2,-256
1848,2011,Oct,7.2,2011-10,35 to 44 years,2322,30120,-280,0.6,-576
1849,2012,Oct,6.2,2012-10,35 to 44 years,2038,30729,-284,1,609
1850,2013,Oct,5.7,2013-10,35 to 44 years,1846,30559,-192,0.5,-170
1851,2014,Oct,4.4,2014-10,35 to 44 years,1429,31000,-417,1.3,441
1852,2015,Oct,4.1,2015-10,35 to 44 years,1346,31363,-83,0.3,363
1853,2016,Oct,3.9,2016-10,35 to 44 years,1297,31582,-49,0.2,219
1854,2017,Oct,3.1,2017-10,35 to 44 years,1011,32068,-286,0.8,486
1855,2018,Oct,3,2018-10,35 to 44 years,1013,32851,2,0.1,783
1856,2019,Oct,2.7,2019-10,35 to 44 years,910,33427,-103,0.3,576
1857,2020,Oct,5.9,2020-10,35 to 44 years,1987,31945,1077,-3.2,-1482
1858,2021,Oct,3.8,2021-10,35 to 44 years,1308,33087,-679,2.1,1142
1859,2022,Oct,2.9,2022-10,35 to 44 years,1020,34611,-288,0.9,1524
1860,1969,Nov,2.2,1969-11,35 to 44 years,358,16106,-662,0.7,-18505
1861,1970,Nov,3.8,1970-11,35 to 44 years,618,15773,260,-1.6,-333
1862,1971,Nov,3.8,1971-11,35 to 44 years,615,15700,-3,0,-73
1863,1972,Nov,3.3,1972-11,35 to 44 years,536,15894,-79,0.5,194
1864,1973,Nov,2.7,1973-11,35 to 44 years,438,16077,-98,0.6,183
1865,1974,Nov,4.1,1974-11,35 to 44 years,695,16125,257,-1.4,48
1866,1975,Nov,5.6,1975-11,35 to 44 years,944,16031,249,-1.5,-94
1867,1976,Nov,4.8,1976-11,35 to 44 years,845,16673,-99,0.8,642
1868,1977,Nov,4.3,1977-11,35 to 44 years,779,17524,-66,0.5,851
1869,1978,Nov,3.5,1978-11,35 to 44 years,664,18451,-115,0.8,927
1870,1979,Nov,3.7,1979-11,35 to 44 years,744,19238,80,-0.2,787
1871,1980,Nov,4.5,1980-11,35 to 44 years,941,19761,197,-0.8,523
1872,1981,Nov,5.7,1981-11,35 to 44 years,1228,20438,287,-1.2,677
1873,1982,Nov,8.1,1982-11,35 to 44 years,1853,21007,625,-2.4,569
1874,1983,Nov,5.9,1983-11,35 to 44 years,1407,22597,-446,2.2,1590
1875,1984,Nov,5,1984-11,35 to 44 years,1260,24047,-147,0.9,1450
1876,1985,Nov,4.9,1985-11,35 to 44 years,1301,25270,41,0.1,1223
1877,1986,Nov,5.1,1986-11,35 to 44 years,1406,26220,105,-0.2,950
1878,1987,Nov,4.1,1987-11,35 to 44 years,1188,27613,-218,1,1393
1879,1988,Nov,3.8,1988-11,35 to 44 years,1129,28859,-59,0.3,1246
1880,1989,Nov,4,1989-11,35 to 44 years,1239,29768,110,-0.2,909
1881,1990,Nov,4.8,1990-11,35 to 44 years,1556,31061,317,-0.8,1293
1882,1991,Nov,5.3,1991-11,35 to 44 years,1793,31825,237,-0.5,764
1883,1992,Nov,5.8,1992-11,35 to 44 years,1976,32134,183,-0.5,309
1884,1993,Nov,5.6,1993-11,35 to 44 years,1950,32954,-26,0.2,820
1885,1994,Nov,4.2,1994-11,35 to 44 years,1475,33967,-475,1.4,1013
1886,1995,Nov,4.3,1995-11,35 to 44 years,1565,34416,90,-0.1,449
1887,1996,Nov,4.4,1996-11,35 to 44 years,1633,35421,68,-0.1,1005
1888,1997,Nov,3.5,1997-11,35 to 44 years,1296,36190,-337,0.9,769
1889,1998,Nov,3.3,1998-11,35 to 44 years,1255,36401,-41,0.2,211
1890,1999,Nov,2.7,1999-11,35 to 44 years,1041,36905,-214,0.6,504
1891,2000,Nov,2.9,2000-11,35 to 44 years,1086,36410,45,-0.2,-495
1892,2001,Nov,4.5,2001-11,35 to 44 years,1676,35533,590,-1.6,-877
1893,2002,Nov,4.9,2002-11,35 to 44 years,1806,34912,130,-0.4,-621
1894,2003,Nov,4.8,2003-11,35 to 44 years,1770,34854,-36,0.1,-58
1895,2004,Nov,4,2004-11,35 to 44 years,1436,34738,-334,0.8,-116
1896,2005,Nov,3.9,2005-11,35 to 44 years,1398,34481,-38,0.1,-257
1897,2006,Nov,3.5,2006-11,35 to 44 years,1254,34620,-144,0.4,139
1898,2007,Nov,3.6,2007-11,35 to 44 years,1267,34134,13,-0.1,-486
1899,2008,Nov,5.5,2008-11,35 to 44 years,1909,32836,642,-1.9,-1298
1900,2009,Nov,8.6,2009-11,35 to 44 years,2917,31048,1008,-3.1,-1788
1901,2010,Nov,7.8,2010-11,35 to 44 years,2573,30567,-344,0.8,-481
1902,2011,Nov,7,2011-11,35 to 44 years,2292,30285,-281,0.8,-282
1903,2012,Nov,6.2,2012-11,35 to 44 years,2034,30516,-258,0.8,231
1904,2013,Nov,5.7,2013-11,35 to 44 years,1857,30690,-177,0.5,174
1905,2014,Nov,4.4,2014-11,35 to 44 years,1432,31005,-425,1.3,315
1906,2015,Nov,4,2015-11,35 to 44 years,1299,31333,-133,0.4,328
1907,2016,Nov,3.6,2016-11,35 to 44 years,1185,31713,-114,0.4,380
1908,2017,Nov,3.1,2017-11,35 to 44 years,1036,32148,-149,0.5,435
1909,2018,Nov,2.9,2018-11,35 to 44 years,990,32809,-46,0.2,661
1910,2019,Nov,2.8,2019-11,35 to 44 years,950,33308,-40,0.1,499
1911,2020,Nov,5.6,2020-11,35 to 44 years,1911,32147,961,-2.8,-1161
1912,2021,Nov,3.8,2021-11,35 to 44 years,1326,33212,-585,1.8,1065
1913,2022,Nov,2.6,2022-11,35 to 44 years,945,34777,-381,1.2,1565
1914,1969,Dec,2.1,1969-12,35 to 44 years,354,16142,-591,0.5,-18635
1915,1970,Dec,4.3,1970-12,35 to 44 years,711,15696,357,-2.2,-446
1916,1971,Dec,3.9,1971-12,35 to 44 years,631,15642,-80,0.4,-54
1917,1972,Dec,2.9,1972-12,35 to 44 years,480,15941,-151,1,299
1918,1973,Dec,2.9,1973-12,35 to 44 years,472,16042,-8,0,101
1919,1974,Dec,4.6,1974-12,35 to 44 years,773,16073,301,-1.7,31
1920,1975,Dec,5.3,1975-12,35 to 44 years,905,16097,132,-0.7,24
1921,1976,Dec,4.9,1976-12,35 to 44 years,859,16723,-46,0.4,626
1922,1977,Dec,3.8,1977-12,35 to 44 years,696,17667,-163,1.1,944
1923,1978,Dec,3.7,1978-12,35 to 44 years,705,18436,9,0.1,769
1924,1979,Dec,3.7,1979-12,35 to 44 years,752,19391,47,0,955
1925,1980,Dec,4.7,1980-12,35 to 44 years,984,19762,232,-1,371
1926,1981,Dec,6,1981-12,35 to 44 years,1313,20468,329,-1.3,706
1927,1982,Dec,8.5,1982-12,35 to 44 years,1947,21070,634,-2.5,602
1928,1983,Dec,5.7,1983-12,35 to 44 years,1384,22786,-563,2.8,1716
1929,1984,Dec,5.1,1984-12,35 to 44 years,1297,24228,-87,0.6,1442
1930,1985,Dec,4.9,1985-12,35 to 44 years,1309,25314,12,0.2,1086
1931,1986,Dec,4.7,1986-12,35 to 44 years,1312,26516,3,0.2,1202
1932,1987,Dec,4.2,1987-12,35 to 44 years,1207,27653,-105,0.5,1137
1933,1988,Dec,3.8,1988-12,35 to 44 years,1146,28787,-61,0.4,1134
1934,1989,Dec,3.9,1989-12,35 to 44 years,1206,30022,60,-0.1,1235
1935,1990,Dec,4.8,1990-12,35 to 44 years,1573,31130,367,-0.9,1108
1936,1991,Dec,5.3,1991-12,35 to 44 years,1764,31826,191,-0.5,696
1937,1992,Dec,6.1,1992-12,35 to 44 years,2074,32127,310,-0.8,301
1938,1993,Dec,5.3,1993-12,35 to 44 years,1860,33024,-214,0.8,897
1939,1994,Dec,4.1,1994-12,35 to 44 years,1458,34195,-402,1.2,1171
1940,1995,Dec,4.2,1995-12,35 to 44 years,1506,34531,48,-0.1,336
1941,1996,Dec,4.1,1996-12,35 to 44 years,1506,35445,0,0.1,914
1942,1997,Dec,3.8,1997-12,35 to 44 years,1427,36105,-79,0.3,660
1943,1998,Dec,3.3,1998-12,35 to 44 years,1235,36469,-192,0.5,364
1944,1999,Dec,2.8,1999-12,35 to 44 years,1059,36841,-176,0.5,372
1945,2000,Dec,2.9,2000-12,35 to 44 years,1073,36464,14,-0.1,-377
