,Year,Month,Unemployment level,Date,Age
387,1971,Aug,927.0,1971-08,25 to 34 years
388,1972,Aug,867.0,1972-08,25 to 34 years
389,1973,Aug,907.0,1973-08,25 to 34 years
390,1974,Aug,1007.0,1974-08,25 to 34 years
391,1975,Aug,1750.0,1975-08,25 to 34 years
392,1976,Aug,1754.0,1976-08,25 to 34 years
393,1977,Aug,1624.0,1977-08,25 to 34 years
394,1978,Aug,1437.0,1978-08,25 to 34 years
395,1979,Aug,1499.0,1979-08,25 to 34 years
396,1980,Aug,2214.0,1980-08,25 to 34 years
397,1981,Aug,2165.0,1981-08,25 to 34 years
398,1982,Aug,3113.0,1982-08,25 to 34 years
399,1983,Aug,2998.0,1983-08,25 to 34 years
400,1984,Aug,2294.0,1984-08,25 to 34 years
401,1985,Aug,2340.0,1985-08,25 to 34 years
402,1986,Aug,2348.0,1986-08,25 to 34 years
403,1987,Aug,2051.0,1987-08,25 to 34 years
404,1988,Aug,1982.0,1988-08,25 to 34 years
405,1989,Aug,1770.0,1989-08,25 to 34 years
406,1990,Aug,2060.0,1990-08,25 to 34 years
407,1991,Aug,2472.0,1991-08,25 to 34 years
408,1992,Aug,2763.0,1992-08,25 to 34 years
409,1993,Aug,2353.0,1993-08,25 to 34 years
410,1994,Aug,1997.0,1994-08,25 to 34 years
411,1995,Aug,1790.0,1995-08,25 to 34 years
412,1996,Aug,1669.0,1996-08,25 to 34 years
413,1997,Aug,1584.0,1997-08,25 to 34 years
414,1998,Aug,1393.0,1998-08,25 to 34 years
415,1999,Aug,1262.0,1999-08,25 to 34 years
416,2000,Aug,1248.0,2000-08,25 to 34 years
417,2001,Aug,1541.0,2001-08,25 to 34 years
418,2002,Aug,1886.0,2002-08,25 to 34 years
419,2003,Aug,2052.0,2003-08,25 to 34 years
420,2004,Aug,1750.0,2004-08,25 to 34 years
421,2005,Aug,1632.0,2005-08,25 to 34 years
422,2006,Aug,1439.0,2006-08,25 to 34 years
423,2007,Aug,1533.0,2007-08,25 to 34 years
424,2008,Aug,2090.0,2008-08,25 to 34 years
425,2009,Aug,3492.0,2009-08,25 to 34 years
426,2010,Aug,3273.0,2010-08,25 to 34 years
427,2011,Aug,3177.0,2011-08,25 to 34 years
428,2012,Aug,2728.0,2012-08,25 to 34 years
429,2013,Aug,2591.0,2013-08,25 to 34 years
430,2014,Aug,2346.0,2014-08,25 to 34 years
431,2015,Aug,1761.0,2015-08,25 to 34 years
432,2016,Aug,1837.0,2016-08,25 to 34 years
433,2017,Aug,1720.0,2017-08,25 to 34 years
434,2018,Aug,1502.0,2018-08,25 to 34 years
435,2019,Aug,1340.0,2019-08,25 to 34 years
436,2020,Aug,3473.0,2020-08,25 to 34 years
437,2021,Aug,2047.0,2021-08,25 to 34 years
438,2022,Aug,1391.0,2022-08,25 to 34 years
439,2023,Aug,1446.0,2023-08,25 to 34 years
440,1969,Sep,489.0,1969-09,25 to 34 years
441,1970,Sep,733.0,1970-09,25 to 34 years
442,1971,Sep,959.0,1971-09,25 to 34 years
443,1972,Sep,893.0,1972-09,25 to 34 years
444,1973,Sep,843.0,1973-09,25 to 34 years
445,1974,Sep,1045.0,1974-09,25 to 34 years
446,1975,Sep,1806.0,1975-09,25 to 34 years
447,1976,Sep,1786.0,1976-09,25 to 34 years
448,1977,Sep,1592.0,1977-09,25 to 34 years
449,1978,Sep,1408.0,1978-09,25 to 34 years
450,1979,Sep,1395.0,1979-09,25 to 34 years
451,1980,Sep,2249.0,1980-09,25 to 34 years
452,1981,Sep,2202.0,1981-09,25 to 34 years
453,1982,Sep,3324.0,1982-09,25 to 34 years
454,1983,Sep,2972.0,1983-09,25 to 34 years
455,1984,Sep,2182.0,1984-09,25 to 34 years
456,1985,Sep,2408.0,1985-09,25 to 34 years
457,1986,Sep,2421.0,1986-09,25 to 34 years
458,1987,Sep,1975.0,1987-09,25 to 34 years
459,1988,Sep,1948.0,1988-09,25 to 34 years
460,1989,Sep,1916.0,1989-09,25 to 34 years
461,1990,Sep,2075.0,1990-09,25 to 34 years
462,1991,Sep,2506.0,1991-09,25 to 34 years
463,1992,Sep,2742.0,1992-09,25 to 34 years
464,1993,Sep,2384.0,1993-09,25 to 34 years
465,1994,Sep,1918.0,1994-09,25 to 34 years
466,1995,Sep,1870.0,1995-09,25 to 34 years
467,1996,Sep,1655.0,1996-09,25 to 34 years
468,1997,Sep,1525.0,1997-09,25 to 34 years
469,1998,Sep,1448.0,1998-09,25 to 34 years
470,1999,Sep,1258.0,1999-09,25 to 34 years
471,2000,Sep,1193.0,2000-09,25 to 34 years
472,2001,Sep,1543.0,2001-09,25 to 34 years
473,2002,Sep,1829.0,2002-09,25 to 34 years
474,2003,Sep,2040.0,2003-09,25 to 34 years
475,2004,Sep,1648.0,2004-09,25 to 34 years
476,2005,Sep,1723.0,2005-09,25 to 34 years
477,2006,Sep,1477.0,2006-09,25 to 34 years
478,2007,Sep,1602.0,2007-09,25 to 34 years
479,2008,Sep,2059.0,2008-09,25 to 34 years
480,2009,Sep,3467.0,2009-09,25 to 34 years
481,2010,Sep,3295.0,2010-09,25 to 34 years
482,2011,Sep,3227.0,2011-09,25 to 34 years
483,2012,Sep,2699.0,2012-09,25 to 34 years
484,2013,Sep,2504.0,2013-09,25 to 34 years
485,2014,Sep,2142.0,2014-09,25 to 34 years
486,2015,Sep,1780.0,2015-09,25 to 34 years
487,2016,Sep,1867.0,2016-09,25 to 34 years
488,2017,Sep,1608.0,2017-09,25 to 34 years
489,2018,Sep,1326.0,2018-09,25 to 34 years
490,2019,Sep,1321.0,2019-09,25 to 34 years
491,2020,Sep,3153.0,2020-09,25 to 34 years
492,2021,Sep,1926.0,2021-09,25 to 34 years
493,2022,Sep,1320.0,2022-09,25 to 34 years
495,1969,Oct,476.0,1969-10,25 to 34 years
496,1970,Oct,804.0,1970-10,25 to 34 years
497,1971,Oct,971.0,1971-10,25 to 34 years
498,1972,Oct,882.0,1972-10,25 to 34 years
499,1973,Oct,833.0,1973-10,25 to 34 years
500,1974,Oct,1201.0,1974-10,25 to 34 years
501,1975,Oct,1771.0,1975-10,25 to 34 years
502,1976,Oct,1763.0,1976-10,25 to 34 years
503,1977,Oct,1664.0,1977-10,25 to 34 years
504,1978,Oct,1370.0,1978-10,25 to 34 years
505,1979,Oct,1452.0,1979-10,25 to 34 years
506,1980,Oct,2210.0,1980-10,25 to 34 years
507,1981,Oct,2349.0,1981-10,25 to 34 years
508,1982,Oct,3354.0,1982-10,25 to 34 years
509,1983,Oct,2810.0,1983-10,25 to 34 years
510,1984,Oct,2257.0,1984-10,25 to 34 years
511,1985,Oct,2336.0,1985-10,25 to 34 years
512,1986,Oct,2429.0,1986-10,25 to 34 years
513,1987,Oct,1968.0,1987-10,25 to 34 years
514,1988,Oct,1927.0,1988-10,25 to 34 years
515,1989,Oct,1872.0,1989-10,25 to 34 years
516,1990,Oct,2081.0,1990-10,25 to 34 years
517,1991,Oct,2545.0,1991-10,25 to 34 years
518,1992,Oct,2733.0,1992-10,25 to 34 years
519,1993,Oct,2301.0,1993-10,25 to 34 years
520,1994,Oct,1969.0,1994-10,25 to 34 years
521,1995,Oct,1711.0,1995-10,25 to 34 years
522,1996,Oct,1650.0,1996-10,25 to 34 years
523,1997,Oct,1452.0,1997-10,25 to 34 years
524,1998,Oct,1526.0,1998-10,25 to 34 years
525,1999,Oct,1245.0,1999-10,25 to 34 years
526,2000,Oct,1184.0,2000-10,25 to 34 years
527,2001,Oct,1681.0,2001-10,25 to 34 years
528,2002,Oct,1823.0,2002-10,25 to 34 years
529,2003,Oct,2029.0,2003-10,25 to 34 years
530,2004,Oct,1747.0,2004-10,25 to 34 years
531,2005,Oct,1556.0,2005-10,25 to 34 years
532,2006,Oct,1522.0,2006-10,25 to 34 years
533,2007,Oct,1560.0,2007-10,25 to 34 years
534,2008,Oct,2219.0,2008-10,25 to 34 years
535,2009,Oct,3520.0,2009-10,25 to 34 years
536,2010,Oct,3223.0,2010-10,25 to 34 years
537,2011,Oct,3211.0,2011-10,25 to 34 years
538,2012,Oct,2746.0,2012-10,25 to 34 years
539,2013,Oct,2380.0,2013-10,25 to 34 years
540,2014,Oct,2106.0,2014-10,25 to 34 years
541,2015,Oct,1825.0,2015-10,25 to 34 years
542,2016,Oct,1822.0,2016-10,25 to 34 years
543,2017,Oct,1650.0,2017-10,25 to 34 years
544,2018,Oct,1412.0,2018-10,25 to 34 years
545,2019,Oct,1451.0,2019-10,25 to 34 years
546,2020,Oct,2702.0,2020-10,25 to 34 years
547,2021,Oct,1745.0,2021-10,25 to 34 years
548,2022,Oct,1456.0,2022-10,25 to 34 years
550,1969,Nov,490.0,1969-11,25 to 34 years
551,1970,Nov,880.0,1970-11,25 to 34 years
552,1971,Nov,1002.0,1971-11,25 to 34 years
553,1972,Nov,812.0,1972-11,25 to 34 years
554,1973,Nov,856.0,1973-11,25 to 34 years
555,1974,Nov,1306.0,1974-11,25 to 34 years
556,1975,Nov,1743.0,1975-11,25 to 34 years
557,1976,Nov,1774.0,1976-11,25 to 34 years
558,1977,Nov,1584.0,1977-11,25 to 34 years
559,1978,Nov,1409.0,1978-11,25 to 34 years
560,1979,Nov,1547.0,1979-11,25 to 34 years
561,1980,Nov,2115.0,1980-11,25 to 34 years
562,1981,Nov,2467.0,1981-11,25 to 34 years
563,1982,Nov,3379.0,1982-11,25 to 34 years
564,1983,Nov,2743.0,1983-11,25 to 34 years
565,1984,Nov,2262.0,1984-11,25 to 34 years
566,1985,Nov,2322.0,1985-11,25 to 34 years
567,1986,Nov,2446.0,1986-11,25 to 34 years
568,1987,Nov,2004.0,1987-11,25 to 34 years
569,1988,Nov,1993.0,1988-11,25 to 34 years
570,1989,Nov,1844.0,1989-11,25 to 34 years
571,1990,Nov,2185.0,1990-11,25 to 34 years
572,1991,Nov,2561.0,1991-11,25 to 34 years
573,1992,Nov,2719.0,1992-11,25 to 34 years
574,1993,Nov,2212.0,1993-11,25 to 34 years
575,1994,Nov,1890.0,1994-11,25 to 34 years
576,1995,Nov,1837.0,1995-11,25 to 34 years
577,1996,Nov,1714.0,1996-11,25 to 34 years
578,1997,Nov,1430.0,1997-11,25 to 34 years
579,1998,Nov,1378.0,1998-11,25 to 34 years
580,1999,Nov,1228.0,1999-11,25 to 34 years
581,2000,Nov,1197.0,2000-11,25 to 34 years
582,2001,Nov,1841.0,2001-11,25 to 34 years
583,2002,Nov,1911.0,2002-11,25 to 34 years
584,2003,Nov,1938.0,2003-11,25 to 34 years
585,2004,Nov,1782.0,2004-11,25 to 34 years
586,2005,Nov,1651.0,2005-11,25 to 34 years
587,2006,Nov,1451.0,2006-11,25 to 34 years
588,2007,Nov,1573.0,2007-11,25 to 34 years
589,2008,Nov,2377.0,2008-11,25 to 34 years
590,2009,Nov,3412.0,2009-11,25 to 34 years
591,2010,Nov,3520.0,2010-11,25 to 34 years
592,2011,Nov,3079.0,2011-11,25 to 34 years
593,2012,Nov,2594.0,2012-11,25 to 34 years
594,2013,Nov,2484.0,2013-11,25 to 34 years
595,2014,Nov,2054.0,2014-11,25 to 34 years
596,2015,Nov,1914.0,2015-11,25 to 34 years
597,2016,Nov,1762.0,2016-11,25 to 34 years
598,2017,Nov,1613.0,2017-11,25 to 34 years
599,2018,Nov,1426.0,2018-11,25 to 34 years
600,2019,Nov,1402.0,2019-11,25 to 34 years
601,2020,Nov,2551.0,2020-11,25 to 34 years
602,2021,Nov,1539.0,2021-11,25 to 34 years
603,2022,Nov,1507.0,2022-11,25 to 34 years
605,1969,Dec,465.0,1969-12,25 to 34 years
606,1970,Dec,931.0,1970-12,25 to 34 years
607,1971,Dec,968.0,1971-12,25 to 34 years
608,1972,Dec,840.0,1972-12,25 to 34 years
609,1973,Dec,891.0,1973-12,25 to 34 years
610,1974,Dec,1428.0,1974-12,25 to 34 years
611,1975,Dec,1709.0,1975-12,25 to 34 years
612,1976,Dec,1773.0,1976-12,25 to 34 years
613,1977,Dec,1534.0,1977-12,25 to 34 years
614,1978,Dec,1473.0,1978-12,25 to 34 years
615,1979,Dec,1489.0,1979-12,25 to 34 years
616,1980,Dec,2103.0,1980-12,25 to 34 years
617,1981,Dec,2571.0,1981-12,25 to 34 years
618,1982,Dec,3463.0,1982-12,25 to 34 years
619,1983,Dec,2668.0,1983-12,25 to 34 years
620,1984,Dec,2281.0,1984-12,25 to 34 years
621,1985,Dec,2269.0,1985-12,25 to 34 years
622,1986,Dec,2326.0,1986-12,25 to 34 years
623,1987,Dec,2061.0,1987-12,25 to 34 years
624,1988,Dec,1831.0,1988-12,25 to 34 years
625,1989,Dec,1869.0,1989-12,25 to 34 years
626,1990,Dec,2222.0,1990-12,25 to 34 years
627,1991,Dec,2585.0,1991-12,25 to 34 years
628,1992,Dec,2594.0,1992-12,25 to 34 years
629,1993,Dec,2275.0,1993-12,25 to 34 years
630,1994,Dec,1856.0,1994-12,25 to 34 years
631,1995,Dec,1820.0,1995-12,25 to 34 years
632,1996,Dec,1729.0,1996-12,25 to 34 years
633,1997,Dec,1419.0,1997-12,25 to 34 years
634,1998,Dec,1345.0,1998-12,25 to 34 years
635,1999,Dec,1160.0,1999-12,25 to 34 years
636,2000,Dec,1192.0,2000-12,25 to 34 years
637,2001,Dec,1908.0,2001-12,25 to 34 years
638,2002,Dec,1956.0,2002-12,25 to 34 years
639,2003,Dec,1906.0,2003-12,25 to 34 years
640,2004,Dec,1812.0,2004-12,25 to 34 years
641,2005,Dec,1640.0,2005-12,25 to 34 years
642,2006,Dec,1414.0,2006-12,25 to 34 years
643,2007,Dec,1645.0,2007-12,25 to 34 years
644,2008,Dec,2551.0,2008-12,25 to 34 years
645,2009,Dec,3311.0,2009-12,25 to 34 years
646,2010,Dec,3321.0,2010-12,25 to 34 years
647,2011,Dec,3143.0,2011-12,25 to 34 years
648,2012,Dec,2620.0,2012-12,25 to 34 years
649,2013,Dec,2353.0,2013-12,25 to 34 years
650,2014,Dec,2007.0,2014-12,25 to 34 years
651,2015,Dec,1851.0,2015-12,25 to 34 years
652,2016,Dec,1687.0,2016-12,25 to 34 years
653,2017,Dec,1633.0,2017-12,25 to 34 years
654,2018,Dec,1504.0,2018-12,25 to 34 years
655,2019,Dec,1399.0,2019-12,25 to 34 years
656,2020,Dec,2422.0,2020-12,25 to 34 years
657,2021,Dec,1564.0,2021-12,25 to 34 years
658,2022,Dec,1400.0,2022-12,25 to 34 years
0,1969,Jan,347.0,1969-01,35 to 44 years
1,1970,Jan,376.0,1970-01,35 to 44 years
2,1971,Jan,651.0,1971-01,35 to 44 years
3,1972,Jan,591.0,1972-01,35 to 44 years
4,1973,Jan,487.0,1973-01,35 to 44 years
5,1974,Jan,476.0,1974-01,35 to 44 years
6,1975,Jan,924.0,1975-01,35 to 44 years
7,1976,Jan,845.0,1976-01,35 to 44 years
8,1977,Jan,789.0,1977-01,35 to 44 years
9,1978,Jan,714.0,1978-01,35 to 44 years
10,1979,Jan,715.0,1979-01,35 to 44 years
11,1980,Jan,785.0,1980-01,35 to 44 years
12,1981,Jan,1004.0,1981-01,35 to 44 years
13,1982,Jan,1317.0,1982-01,35 to 44 years
14,1983,Jan,1797.0,1983-01,35 to 44 years
15,1984,Jan,1330.0,1984-01,35 to 44 years
16,1985,Jan,1368.0,1985-01,35 to 44 years
17,1986,Jan,1255.0,1986-01,35 to 44 years
18,1987,Jan,1339.0,1987-01,35 to 44 years
19,1988,Jan,1218.0,1988-01,35 to 44 years
20,1989,Jan,1138.0,1989-01,35 to 44 years
21,1990,Jan,1193.0,1990-01,35 to 44 years
22,1991,Jan,1564.0,1991-01,35 to 44 years
23,1992,Jan,1852.0,1992-01,35 to 44 years
24,1993,Jan,1943.0,1993-01,35 to 44 years
25,1994,Jan,1804.0,1994-01,35 to 44 years
26,1995,Jan,1512.0,1995-01,35 to 44 years
27,1996,Jan,1478.0,1996-01,35 to 44 years
28,1997,Jan,1547.0,1997-01,35 to 44 years
29,1998,Jan,1383.0,1998-01,35 to 44 years
30,1999,Jan,1155.0,1999-01,35 to 44 years
31,2000,Jan,1135.0,2000-01,35 to 44 years
32,2001,Jan,1158.0,2001-01,35 to 44 years
33,2002,Jan,1701.0,2002-01,35 to 44 years
34,2003,Jan,1701.0,2003-01,35 to 44 years
35,2004,Jan,1620.0,2004-01,35 to 44 years
36,2005,Jan,1473.0,2005-01,35 to 44 years
37,2006,Jan,1320.0,2006-01,35 to 44 years
38,2007,Jan,1222.0,2007-01,35 to 44 years
39,2008,Jan,1268.0,2008-01,35 to 44 years
40,2009,Jan,2319.0,2009-01,35 to 44 years
41,2010,Jan,2869.0,2010-01,35 to 44 years
42,2011,Jan,2419.0,2011-01,35 to 44 years
43,2012,Jan,2244.0,2012-01,35 to 44 years
44,2013,Jan,2124.0,2013-01,35 to 44 years
45,2014,Jan,1633.0,2014-01,35 to 44 years
46,2015,Jan,1425.0,2015-01,35 to 44 years
47,2016,Jan,1272.0,2016-01,35 to 44 years
48,2017,Jan,1302.0,2017-01,35 to 44 years
49,2018,Jan,1028.0,2018-01,35 to 44 years
50,2019,Jan,985.0,2019-01,35 to 44 years
51,2020,Jan,956.0,2020-01,35 to 44 years
52,2021,Jan,1887.0,2021-01,35 to 44 years
53,2022,Jan,1239.0,2022-01,35 to 44 years
54,2023,Jan,927.0,2023-01,35 to 44 years
55,1969,Feb,342.0,1969-02,35 to 44 years
56,1970,Feb,425.0,1970-02,35 to 44 years
57,1971,Feb,627.0,1971-02,35 to 44 years
58,1972,Feb,546.0,1972-02,35 to 44 years
59,1973,Feb,470.0,1973-02,35 to 44 years
60,1974,Feb,493.0,1974-02,35 to 44 years
61,1975,Feb,907.0,1975-02,35 to 44 years
62,1976,Feb,852.0,1976-02,35 to 44 years
63,1977,Feb,839.0,1977-02,35 to 44 years
64,1978,Feb,683.0,1978-02,35 to 44 years
65,1979,Feb,672.0,1979-02,35 to 44 years
66,1980,Feb,818.0,1980-02,35 to 44 years
67,1981,Feb,1015.0,1981-02,35 to 44 years
68,1982,Feb,1362.0,1982-02,35 to 44 years
69,1983,Feb,1800.0,1983-02,35 to 44 years
70,1984,Feb,1335.0,1984-02,35 to 44 years
71,1985,Feb,1320.0,1985-02,35 to 44 years
72,1986,Feb,1419.0,1986-02,35 to 44 years
73,1987,Feb,1332.0,1987-02,35 to 44 years
74,1988,Feb,1254.0,1988-02,35 to 44 years
75,1989,Feb,1140.0,1989-02,35 to 44 years
76,1990,Feb,1183.0,1990-02,35 to 44 years
77,1991,Feb,1645.0,1991-02,35 to 44 years
78,1992,Feb,1993.0,1992-02,35 to 44 years
79,1993,Feb,1932.0,1993-02,35 to 44 years
80,1994,Feb,1737.0,1994-02,35 to 44 years
81,1995,Feb,1494.0,1995-02,35 to 44 years
82,1996,Feb,1466.0,1996-02,35 to 44 years
83,1997,Feb,1540.0,1997-02,35 to 44 years
84,1998,Feb,1291.0,1998-02,35 to 44 years
85,1999,Feb,1203.0,1999-02,35 to 44 years
86,2000,Feb,1181.0,2000-02,35 to 44 years
87,2001,Feb,1157.0,2001-02,35 to 44 years
88,2002,Feb,1627.0,2002-02,35 to 44 years
89,2003,Feb,1904.0,2003-02,35 to 44 years
90,2004,Feb,1635.0,2004-02,35 to 44 years
91,2005,Feb,1542.0,2005-02,35 to 44 years
92,2006,Feb,1279.0,2006-02,35 to 44 years
93,2007,Feb,1178.0,2007-02,35 to 44 years
94,2008,Feb,1269.0,2008-02,35 to 44 years
95,2009,Feb,2382.0,2009-02,35 to 44 years
96,2010,Feb,2946.0,2010-02,35 to 44 years
97,2011,Feb,2431.0,2011-02,35 to 44 years
98,2012,Feb,2231.0,2012-02,35 to 44 years
99,2013,Feb,2013.0,2013-02,35 to 44 years
100,2014,Feb,1638.0,2014-02,35 to 44 years
101,2015,Feb,1431.0,2015-02,35 to 44 years
102,2016,Feb,1228.0,2016-02,35 to 44 years
103,2017,Feb,1363.0,2017-02,35 to 44 years
104,2018,Feb,1063.0,2018-02,35 to 44 years
105,2019,Feb,895.0,2019-02,35 to 44 years
106,2020,Feb,962.0,2020-02,35 to 44 years
107,2021,Feb,1896.0,2021-02,35 to 44 years
108,2022,Feb,1175.0,2022-02,35 to 44 years
109,2023,Feb,936.0,2023-02,35 to 44 years
110,1969,Mar,334.0,1969-03,35 to 44 years
111,1970,Mar,488.0,1970-03,35 to 44 years
112,1971,Mar,588.0,1971-03,35 to 44 years
113,1972,Mar,622.0,1972-03,35 to 44 years
114,1973,Mar,478.0,1973-03,35 to 44 years
115,1974,Mar,473.0,1974-03,35 to 44 years
116,1975,Mar,969.0,1975-03,35 to 44 years
117,1976,Mar,808.0,1976-03,35 to 44 years
118,1977,Mar,831.0,1977-03,35 to 44 years
119,1978,Mar,697.0,1978-03,35 to 44 years
120,1979,Mar,669.0,1979-03,35 to 44 years
121,1980,Mar,829.0,1980-03,35 to 44 years
122,1981,Mar,1045.0,1981-03,35 to 44 years
123,1982,Mar,1399.0,1982-03,35 to 44 years
124,1983,Mar,1745.0,1983-03,35 to 44 years
125,1984,Mar,1307.0,1984-03,35 to 44 years
126,1985,Mar,1358.0,1985-03,35 to 44 years
127,1986,Mar,1405.0,1986-03,35 to 44 years
128,1987,Mar,1379.0,1987-03,35 to 44 years
129,1988,Mar,1195.0,1988-03,35 to 44 years
130,1989,Mar,1103.0,1989-03,35 to 44 years
131,1990,Mar,1178.0,1990-03,35 to 44 years
132,1991,Mar,1715.0,1991-03,35 to 44 years
133,1992,Mar,1921.0,1992-03,35 to 44 years
134,1993,Mar,1849.0,1993-03,35 to 44 years
135,1994,Mar,1764.0,1994-03,35 to 44 years
136,1995,Mar,1456.0,1995-03,35 to 44 years
137,1996,Mar,1496.0,1996-03,35 to 44 years
138,1997,Mar,1494.0,1997-03,35 to 44 years
139,1998,Mar,1313.0,1998-03,35 to 44 years
140,1999,Mar,1081.0,1999-03,35 to 44 years
141,2000,Mar,1189.0,2000-03,35 to 44 years
142,2001,Mar,1195.0,2001-03,35 to 44 years
143,2002,Mar,1655.0,2002-03,35 to 44 years
144,2003,Mar,1767.0,2003-03,35 to 44 years
145,2004,Mar,1725.0,2004-03,35 to 44 years
146,2005,Mar,1384.0,2005-03,35 to 44 years
147,2006,Mar,1367.0,2006-03,35 to 44 years
148,2007,Mar,1146.0,2007-03,35 to 44 years
149,2008,Mar,1345.0,2008-03,35 to 44 years
150,2009,Mar,2499.0,2009-03,35 to 44 years
151,2010,Mar,2899.0,2010-03,35 to 44 years
152,2011,Mar,2384.0,2011-03,35 to 44 years
153,2012,Mar,2108.0,2012-03,35 to 44 years
154,2013,Mar,1977.0,2013-03,35 to 44 years
155,2014,Mar,1682.0,2014-03,35 to 44 years
156,2015,Mar,1333.0,2015-03,35 to 44 years
157,2016,Mar,1241.0,2016-03,35 to 44 years
158,2017,Mar,1272.0,2017-03,35 to 44 years
159,2018,Mar,1088.0,2018-03,35 to 44 years
160,2019,Mar,964.0,2019-03,35 to 44 years
161,2020,Mar,1194.0,2020-03,35 to 44 years
162,2021,Mar,1747.0,2021-03,35 to 44 years
163,2022,Mar,989.0,2022-03,35 to 44 years
164,2023,Mar,927.0,2023-03,35 to 44 years
165,1969,Apr,350.0,1969-04,35 to 44 years
166,1970,Apr,462.0,1970-04,35 to 44 years
167,1971,Apr,624.0,1971-04,35 to 44 years
168,1972,Apr,583.0,1972-04,35 to 44 years
169,1973,Apr,449.0,1973-04,35 to 44 years
170,1974,Apr,512.0,1974-04,35 to 44 years
171,1975,Apr,1050.0,1975-04,35 to 44 years
172,1976,Apr,846.0,1976-04,35 to 44 years
173,1977,Apr,763.0,1977-04,35 to 44 years
174,1978,Apr,649.0,1978-04,35 to 44 years
175,1979,Apr,672.0,1979-04,35 to 44 years
176,1980,Apr,885.0,1980-04,35 to 44 years
177,1981,Apr,1042.0,1981-04,35 to 44 years
178,1982,Apr,1406.0,1982-04,35 to 44 years
179,1983,Apr,1725.0,1983-04,35 to 44 years
180,1984,Apr,1379.0,1984-04,35 to 44 years
181,1985,Apr,1350.0,1985-04,35 to 44 years
182,1986,Apr,1400.0,1986-04,35 to 44 years
183,1987,Apr,1262.0,1987-04,35 to 44 years
184,1988,Apr,1133.0,1988-04,35 to 44 years
185,1989,Apr,1145.0,1989-04,35 to 44 years
186,1990,Apr,1214.0,1990-04,35 to 44 years
187,1991,Apr,1757.0,1991-04,35 to 44 years
188,1992,Apr,1895.0,1992-04,35 to 44 years
189,1993,Apr,1893.0,1993-04,35 to 44 years
190,1994,Apr,1591.0,1994-04,35 to 44 years
191,1995,Apr,1613.0,1995-04,35 to 44 years
192,1996,Apr,1544.0,1996-04,35 to 44 years
193,1997,Apr,1419.0,1997-04,35 to 44 years
194,1998,Apr,1228.0,1998-04,35 to 44 years
195,1999,Apr,1190.0,1999-04,35 to 44 years
196,2000,Apr,1144.0,2000-04,35 to 44 years
197,2001,Apr,1152.0,2001-04,35 to 44 years
198,2002,Apr,1732.0,2002-04,35 to 44 years
199,2003,Apr,1778.0,2003-04,35 to 44 years
200,2004,Apr,1596.0,2004-04,35 to 44 years
201,2005,Apr,1387.0,2005-04,35 to 44 years
202,2006,Apr,1350.0,2006-04,35 to 44 years
203,2007,Apr,1208.0,2007-04,35 to 44 years
204,2008,Apr,1376.0,2008-04,35 to 44 years
205,2009,Apr,2645.0,2009-04,35 to 44 years
206,2010,Apr,2748.0,2010-04,35 to 44 years
207,2011,Apr,2436.0,2011-04,35 to 44 years
208,2012,Apr,2156.0,2012-04,35 to 44 years
209,2013,Apr,1908.0,2013-04,35 to 44 years
210,2014,Apr,1594.0,2014-04,35 to 44 years
211,2015,Apr,1405.0,2015-04,35 to 44 years
212,2016,Apr,1334.0,2016-04,35 to 44 years
213,2017,Apr,1199.0,2017-04,35 to 44 years
214,2018,Apr,1017.0,2018-04,35 to 44 years
215,2019,Apr,920.0,2019-04,35 to 44 years
216,2020,Apr,3860.0,2020-04,35 to 44 years
217,2021,Apr,1694.0,2021-04,35 to 44 years
218,2022,Apr,1037.0,2022-04,35 to 44 years
219,2023,Apr,1064.0,2023-04,35 to 44 years
220,1969,May,379.0,1969-05,35 to 44 years
221,1970,May,490.0,1970-05,35 to 44 years
222,1971,May,601.0,1971-05,35 to 44 years
223,1972,May,614.0,1972-05,35 to 44 years
224,1973,May,445.0,1973-05,35 to 44 years
225,1974,May,521.0,1974-05,35 to 44 years
226,1975,May,1012.0,1975-05,35 to 44 years
227,1976,May,781.0,1976-05,35 to 44 years
228,1977,May,794.0,1977-05,35 to 44 years
229,1978,May,752.0,1978-05,35 to 44 years
230,1979,May,661.0,1979-05,35 to 44 years
231,1980,May,978.0,1980-05,35 to 44 years
232,1981,May,949.0,1981-05,35 to 44 years
233,1982,May,1482.0,1982-05,35 to 44 years
234,1983,May,1785.0,1983-05,35 to 44 years
235,1984,May,1322.0,1984-05,35 to 44 years
236,1985,May,1336.0,1985-05,35 to 44 years
237,1986,May,1416.0,1986-05,35 to 44 years
238,1987,May,1261.0,1987-05,35 to 44 years
239,1988,May,1231.0,1988-05,35 to 44 years
240,1989,May,1092.0,1989-05,35 to 44 years
241,1990,May,1215.0,1990-05,35 to 44 years
242,1991,May,1778.0,1991-05,35 to 44 years
243,1992,May,1972.0,1992-05,35 to 44 years
244,1993,May,1889.0,1993-05,35 to 44 years
245,1994,May,1541.0,1994-05,35 to 44 years
246,1995,May,1626.0,1995-05,35 to 44 years
247,1996,May,1466.0,1996-05,35 to 44 years
248,1997,May,1353.0,1997-05,35 to 44 years
249,1998,May,1267.0,1998-05,35 to 44 years
250,1999,May,1215.0,1999-05,35 to 44 years
251,2000,May,1141.0,2000-05,35 to 44 years
252,2001,May,1270.0,2001-05,35 to 44 years
253,2002,May,1763.0,2002-05,35 to 44 years
