,Year,Month,Unemployment level,Date,Age
311,2005,Jun,1313.0,2005-06,20 to 24 years
312,2006,Jun,1168.0,2006-06,20 to 24 years
313,2007,Jun,1209.0,2007-06,20 to 24 years
314,2008,Jun,1528.0,2008-06,20 to 24 years
315,2009,Jun,2277.0,2009-06,20 to 24 years
316,2010,Jun,2287.0,2010-06,20 to 24 years
317,2011,Jun,2164.0,2011-06,20 to 24 years
318,2012,Jun,2097.0,2012-06,20 to 24 years
319,2013,Jun,2115.0,2013-06,20 to 24 years
320,2014,Jun,1635.0,2014-06,20 to 24 years
321,2015,Jun,1517.0,2015-06,20 to 24 years
322,2016,Jun,1288.0,2016-06,20 to 24 years
323,2017,Jun,1098.0,2017-06,20 to 24 years
324,2018,Jun,1116.0,2018-06,20 to 24 years
325,2019,Jun,918.0,2019-06,20 to 24 years
326,2020,Jun,2764.0,2020-06,20 to 24 years
327,2021,Jun,1337.0,2021-06,20 to 24 years
328,2022,Jun,1018.0,2022-06,20 to 24 years
329,2023,Jun,952.0,2023-06,20 to 24 years
330,1969,Jul,564.0,1969-07,20 to 24 years
331,1970,Jul,905.0,1970-07,20 to 24 years
332,1971,Jul,1101.0,1971-07,20 to 24 years
333,1972,Jul,1175.0,1972-07,20 to 24 years
334,1973,Jul,1047.0,1973-07,20 to 24 years
335,1974,Jul,1195.0,1974-07,20 to 24 years
336,1975,Jul,1928.0,1975-07,20 to 24 years
337,1976,Jul,1662.0,1976-07,20 to 24 years
338,1977,Jul,1591.0,1977-07,20 to 24 years
339,1978,Jul,1525.0,1978-07,20 to 24 years
340,1979,Jul,1436.0,1979-07,20 to 24 years
341,1980,Jul,1970.0,1980-07,20 to 24 years
342,1981,Jul,1874.0,1981-07,20 to 24 years
343,1982,Jul,2377.0,1982-07,20 to 24 years
344,1983,Jul,2224.0,1983-07,20 to 24 years
345,1984,Jul,1797.0,1984-07,20 to 24 years
346,1985,Jul,1731.0,1985-07,20 to 24 years
347,1986,Jul,1649.0,1986-07,20 to 24 years
348,1987,Jul,1459.0,1987-07,20 to 24 years
349,1988,Jul,1245.0,1988-07,20 to 24 years
350,1989,Jul,1240.0,1989-07,20 to 24 years
351,1990,Jul,1248.0,1990-07,20 to 24 years
352,1991,Jul,1605.0,1991-07,20 to 24 years
353,1992,Jul,1683.0,1992-07,20 to 24 years
354,1993,Jul,1502.0,1993-07,20 to 24 years
355,1994,Jul,1358.0,1994-07,20 to 24 years
356,1995,Jul,1257.0,1995-07,20 to 24 years
357,1996,Jul,1271.0,1996-07,20 to 24 years
358,1997,Jul,1047.0,1997-07,20 to 24 years
359,1998,Jul,1106.0,1998-07,20 to 24 years
360,1999,Jul,1089.0,1999-07,20 to 24 years
361,2000,Jul,995.0,2000-07,20 to 24 years
362,2001,Jul,1142.0,2001-07,20 to 24 years
363,2002,Jul,1429.0,2002-07,20 to 24 years
364,2003,Jul,1576.0,2003-07,20 to 24 years
365,2004,Jul,1417.0,2004-07,20 to 24 years
366,2005,Jul,1236.0,2005-07,20 to 24 years
367,2006,Jul,1269.0,2006-07,20 to 24 years
368,2007,Jul,1255.0,2007-07,20 to 24 years
369,2008,Jul,1553.0,2008-07,20 to 24 years
370,2009,Jul,2282.0,2009-07,20 to 24 years
371,2010,Jul,2334.0,2010-07,20 to 24 years
372,2011,Jul,2190.0,2011-07,20 to 24 years
373,2012,Jul,2074.0,2012-07,20 to 24 years
374,2013,Jul,1926.0,2013-07,20 to 24 years
375,2014,Jul,1728.0,2014-07,20 to 24 years
376,2015,Jul,1511.0,2015-07,20 to 24 years
377,2016,Jul,1336.0,2016-07,20 to 24 years
378,2017,Jul,1120.0,2017-07,20 to 24 years
379,2018,Jul,1039.0,2018-07,20 to 24 years
380,2019,Jul,1021.0,2019-07,20 to 24 years
381,2020,Jul,2572.0,2020-07,20 to 24 years
382,2021,Jul,1331.0,2021-07,20 to 24 years
383,2022,Jul,949.0,2022-07,20 to 24 years
384,2023,Jul,1046.0,2023-07,20 to 24 years
385,1969,Aug,542.0,1969-08,20 to 24 years
386,1970,Aug,901.0,1970-08,20 to 24 years
387,1971,Aug,1167.0,1971-08,20 to 24 years
388,1972,Aug,1114.0,1972-08,20 to 24 years
389,1973,Aug,1013.0,1973-08,20 to 24 years
390,1974,Aug,1290.0,1974-08,20 to 24 years
391,1975,Aug,1867.0,1975-08,20 to 24 years
392,1976,Aug,1719.0,1976-08,20 to 24 years
393,1977,Aug,1686.0,1977-08,20 to 24 years
394,1978,Aug,1418.0,1978-08,20 to 24 years
395,1979,Aug,1510.0,1979-08,20 to 24 years
396,1980,Aug,1950.0,1980-08,20 to 24 years
397,1981,Aug,1942.0,1981-08,20 to 24 years
398,1982,Aug,2436.0,1982-08,20 to 24 years
399,1983,Aug,2319.0,1983-08,20 to 24 years
400,1984,Aug,1885.0,1984-08,20 to 24 years
401,1985,Aug,1717.0,1985-08,20 to 24 years
402,1986,Aug,1604.0,1986-08,20 to 24 years
403,1987,Aug,1397.0,1987-08,20 to 24 years
404,1988,Aug,1227.0,1988-08,20 to 24 years
405,1989,Aug,1254.0,1989-08,20 to 24 years
406,1990,Aug,1321.0,1990-08,20 to 24 years
407,1991,Aug,1567.0,1991-08,20 to 24 years
408,1992,Aug,1651.0,1992-08,20 to 24 years
409,1993,Aug,1467.0,1993-08,20 to 24 years
410,1994,Aug,1409.0,1994-08,20 to 24 years
411,1995,Aug,1340.0,1995-08,20 to 24 years
412,1996,Aug,1125.0,1996-08,20 to 24 years
413,1997,Aug,1094.0,1997-08,20 to 24 years
414,1998,Aug,1151.0,1998-08,20 to 24 years
415,1999,Aug,1039.0,1999-08,20 to 24 years
416,2000,Aug,935.0,2000-08,20 to 24 years
417,2001,Aug,1292.0,2001-08,20 to 24 years
418,2002,Aug,1413.0,2002-08,20 to 24 years
419,2003,Aug,1539.0,2003-08,20 to 24 years
420,2004,Aug,1365.0,2004-08,20 to 24 years
421,2005,Aug,1316.0,2005-08,20 to 24 years
422,2006,Aug,1251.0,2006-08,20 to 24 years
423,2007,Aug,1260.0,2007-08,20 to 24 years
424,2008,Aug,1632.0,2008-08,20 to 24 years
