,Year,Month,Unemployment Rate,Date,Age,Unnamed: 0,Unemployment level
1762,1979,Sep,3.8,1979-09,35 to 44 years,450,756.0
1763,1980,Sep,4.8,1980-09,35 to 44 years,451,985.0
1764,1981,Sep,5.0,1981-09,35 to 44 years,452,1072.0
1765,1982,Sep,7.1,1982-09,35 to 44 years,453,1612.0
1766,1983,Sep,6.7,1983-09,35 to 44 years,454,1613.0
1767,1984,Sep,5.5,1984-09,35 to 44 years,455,1380.0
1768,1985,Sep,5.1,1985-09,35 to 44 years,456,1326.0
1769,1986,Sep,4.9,1986-09,35 to 44 years,457,1348.0
1770,1987,Sep,4.5,1987-09,35 to 44 years,458,1283.0
1771,1988,Sep,3.7,1988-09,35 to 44 years,459,1101.0
1772,1989,Sep,4.0,1989-09,35 to 44 years,460,1221.0
1773,1990,Sep,4.5,1990-09,35 to 44 years,461,1452.0
1774,1991,Sep,5.2,1991-09,35 to 44 years,462,1732.0
1775,1992,Sep,5.9,1992-09,35 to 44 years,463,1998.0
1776,1993,Sep,5.3,1993-09,35 to 44 years,464,1823.0
1777,1994,Sep,4.8,1994-09,35 to 44 years,465,1697.0
1778,1995,Sep,4.2,1995-09,35 to 44 years,466,1492.0
1779,1996,Sep,4.2,1996-09,35 to 44 years,467,1529.0
1780,1997,Sep,3.7,1997-09,35 to 44 years,468,1376.0
1781,1998,Sep,3.2,1998-09,35 to 44 years,469,1202.0
1782,1999,Sep,3.1,1999-09,35 to 44 years,470,1180.0
1783,2000,Sep,2.9,2000-09,35 to 44 years,471,1090.0
1784,2001,Sep,4.0,2001-09,35 to 44 years,472,1482.0
1785,2002,Sep,4.6,2002-09,35 to 44 years,473,1672.0
1786,2003,Sep,4.8,2003-09,35 to 44 years,474,1773.0
1787,2004,Sep,4.5,2004-09,35 to 44 years,475,1626.0
1788,2005,Sep,3.7,2005-09,35 to 44 years,476,1342.0
1789,2006,Sep,3.5,2006-09,35 to 44 years,477,1239.0
1790,2007,Sep,3.3,2007-09,35 to 44 years,478,1165.0
1791,2008,Sep,5.1,2008-09,35 to 44 years,479,1773.0
1792,2009,Sep,8.6,2009-09,35 to 44 years,480,2955.0
1793,2010,Sep,8.3,2010-09,35 to 44 years,481,2756.0
1794,2011,Sep,7.5,2011-09,35 to 44 years,482,2444.0
1795,2012,Sep,6.3,2012-09,35 to 44 years,483,2052.0
1796,2013,Sep,5.6,2013-09,35 to 44 years,484,1819.0
1797,2014,Sep,4.4,2014-09,35 to 44 years,485,1417.0
1798,2015,Sep,4.0,2015-09,35 to 44 years,486,1307.0
1799,2016,Sep,4.2,2016-09,35 to 44 years,487,1374.0
1800,2017,Sep,3.1,2017-09,35 to 44 years,488,1040.0
1801,2018,Sep,2.9,2018-09,35 to 44 years,489,966.0
1802,2019,Sep,2.5,2019-09,35 to 44 years,490,871.0
1803,2020,Sep,6.2,2020-09,35 to 44 years,491,2099.0
1804,2021,Sep,3.9,2021-09,35 to 44 years,492,1338.0
1805,2022,Sep,3.0,2022-09,35 to 44 years,493,1063.0
1806,1969,Oct,2.1,1969-10,35 to 44 years,495,351.0
1807,1970,Oct,3.7,1970-10,35 to 44 years,496,603.0
1808,1971,Oct,4.0,1971-10,35 to 44 years,497,653.0
1809,1972,Oct,3.4,1972-10,35 to 44 years,498,563.0
1810,1973,Oct,2.4,1973-10,35 to 44 years,499,401.0
1811,1974,Oct,3.6,1974-10,35 to 44 years,500,611.0
1812,1975,Oct,5.6,1975-10,35 to 44 years,501,953.0
1813,1976,Oct,4.9,1976-10,35 to 44 years,502,862.0
1814,1977,Oct,4.2,1977-10,35 to 44 years,503,755.0
1815,1978,Oct,3.6,1978-10,35 to 44 years,504,677.0
1816,1979,Oct,3.7,1979-10,35 to 44 years,505,751.0
1817,1980,Oct,4.8,1980-10,35 to 44 years,506,992.0
1818,1981,Oct,5.3,1981-10,35 to 44 years,507,1137.0
1819,1982,Oct,7.6,1982-10,35 to 44 years,508,1740.0
1820,1983,Oct,6.3,1983-10,35 to 44 years,509,1500.0
1821,1984,Oct,5.4,1984-10,35 to 44 years,510,1365.0
1822,1985,Oct,4.8,1985-10,35 to 44 years,511,1268.0
1823,1986,Oct,5.1,1986-10,35 to 44 years,512,1397.0
1824,1987,Oct,4.6,1987-10,35 to 44 years,513,1315.0
1825,1988,Oct,3.8,1988-10,35 to 44 years,514,1133.0
1826,1989,Oct,3.9,1989-10,35 to 44 years,515,1199.0
1827,1990,Oct,4.5,1990-10,35 to 44 years,516,1447.0
1828,1991,Oct,5.2,1991-10,35 to 44 years,517,1743.0
1829,1992,Oct,5.9,1992-10,35 to 44 years,518,2015.0
1830,1993,Oct,5.7,1993-10,35 to 44 years,519,1985.0
1831,1994,Oct,4.3,1994-10,35 to 44 years,520,1529.0
1832,1995,Oct,4.5,1995-10,35 to 44 years,521,1607.0
1833,1996,Oct,4.1,1996-10,35 to 44 years,522,1516.0
1834,1997,Oct,3.7,1997-10,35 to 44 years,523,1378.0
1835,1998,Oct,3.3,1998-10,35 to 44 years,524,1228.0
1836,1999,Oct,2.9,1999-10,35 to 44 years,525,1096.0
1837,2000,Oct,2.8,2000-10,35 to 44 years,526,1038.0
1838,2001,Oct,4.2,2001-10,35 to 44 years,527,1568.0
1839,2002,Oct,4.8,2002-10,35 to 44 years,528,1770.0
1840,2003,Oct,5.0,2003-10,35 to 44 years,529,1846.0
1841,2004,Oct,4.1,2004-10,35 to 44 years,530,1471.0
1842,2005,Oct,3.9,2005-10,35 to 44 years,531,1408.0
1843,2006,Oct,2.9,2006-10,35 to 44 years,532,1033.0
1844,2007,Oct,3.4,2007-10,35 to 44 years,533,1214.0
1845,2008,Oct,5.4,2008-10,35 to 44 years,534,1885.0
1846,2009,Oct,9.0,2009-10,35 to 44 years,535,3063.0
1847,2010,Oct,7.8,2010-10,35 to 44 years,536,2602.0
1848,2011,Oct,7.2,2011-10,35 to 44 years,537,2322.0
1849,2012,Oct,6.2,2012-10,35 to 44 years,538,2038.0
1850,2013,Oct,5.7,2013-10,35 to 44 years,539,1846.0
1851,2014,Oct,4.4,2014-10,35 to 44 years,540,1429.0
1852,2015,Oct,4.1,2015-10,35 to 44 years,541,1346.0
1853,2016,Oct,3.9,2016-10,35 to 44 years,542,1297.0
1854,2017,Oct,3.1,2017-10,35 to 44 years,543,1011.0
1855,2018,Oct,3.0,2018-10,35 to 44 years,544,1013.0
1856,2019,Oct,2.7,2019-10,35 to 44 years,545,910.0
1857,2020,Oct,5.9,2020-10,35 to 44 years,546,1987.0
1858,2021,Oct,3.8,2021-10,35 to 44 years,547,1308.0
1859,2022,Oct,2.9,2022-10,35 to 44 years,548,1020.0
1860,1969,Nov,2.2,1969-11,35 to 44 years,550,358.0
1861,1970,Nov,3.8,1970-11,35 to 44 years,551,618.0
1862,1971,Nov,3.8,1971-11,35 to 44 years,552,615.0
1863,1972,Nov,3.3,1972-11,35 to 44 years,553,536.0
1864,1973,Nov,2.7,1973-11,35 to 44 years,554,438.0
1865,1974,Nov,4.1,1974-11,35 to 44 years,555,695.0
1866,1975,Nov,5.6,1975-11,35 to 44 years,556,944.0
1867,1976,Nov,4.8,1976-11,35 to 44 years,557,845.0
1868,1977,Nov,4.3,1977-11,35 to 44 years,558,779.0
1869,1978,Nov,3.5,1978-11,35 to 44 years,559,664.0
1870,1979,Nov,3.7,1979-11,35 to 44 years,560,744.0
1871,1980,Nov,4.5,1980-11,35 to 44 years,561,941.0
1872,1981,Nov,5.7,1981-11,35 to 44 years,562,1228.0
1873,1982,Nov,8.1,1982-11,35 to 44 years,563,1853.0
1874,1983,Nov,5.9,1983-11,35 to 44 years,564,1407.0
1875,1984,Nov,5.0,1984-11,35 to 44 years,565,1260.0
1876,1985,Nov,4.9,1985-11,35 to 44 years,566,1301.0
1877,1986,Nov,5.1,1986-11,35 to 44 years,567,1406.0
1878,1987,Nov,4.1,1987-11,35 to 44 years,568,1188.0
1879,1988,Nov,3.8,1988-11,35 to 44 years,569,1129.0
1880,1989,Nov,4.0,1989-11,35 to 44 years,570,1239.0
1881,1990,Nov,4.8,1990-11,35 to 44 years,571,1556.0
1882,1991,Nov,5.3,1991-11,35 to 44 years,572,1793.0
1883,1992,Nov,5.8,1992-11,35 to 44 years,573,1976.0
1884,1993,Nov,5.6,1993-11,35 to 44 years,574,1950.0
1885,1994,Nov,4.2,1994-11,35 to 44 years,575,1475.0
1886,1995,Nov,4.3,1995-11,35 to 44 years,576,1565.0
1887,1996,Nov,4.4,1996-11,35 to 44 years,577,1633.0
1888,1997,Nov,3.5,1997-11,35 to 44 years,578,1296.0
1889,1998,Nov,3.3,1998-11,35 to 44 years,579,1255.0
1890,1999,Nov,2.7,1999-11,35 to 44 years,580,1041.0
1891,2000,Nov,2.9,2000-11,35 to 44 years,581,1086.0
1892,2001,Nov,4.5,2001-11,35 to 44 years,582,1676.0
1893,2002,Nov,4.9,2002-11,35 to 44 years,583,1806.0
1894,2003,Nov,4.8,2003-11,35 to 44 years,584,1770.0
1895,2004,Nov,4.0,2004-11,35 to 44 years,585,1436.0
1896,2005,Nov,3.9,2005-11,35 to 44 years,586,1398.0
1897,2006,Nov,3.5,2006-11,35 to 44 years,587,1254.0
1898,2007,Nov,3.6,2007-11,35 to 44 years,588,1267.0
1899,2008,Nov,5.5,2008-11,35 to 44 years,589,1909.0
1900,2009,Nov,8.6,2009-11,35 to 44 years,590,2917.0
1901,2010,Nov,7.8,2010-11,35 to 44 years,591,2573.0
1902,2011,Nov,7.0,2011-11,35 to 44 years,592,2292.0
1903,2012,Nov,6.2,2012-11,35 to 44 years,593,2034.0
1904,2013,Nov,5.7,2013-11,35 to 44 years,594,1857.0
1905,2014,Nov,4.4,2014-11,35 to 44 years,595,1432.0
1906,2015,Nov,4.0,2015-11,35 to 44 years,596,1299.0
1907,2016,Nov,3.6,2016-11,35 to 44 years,597,1185.0
1908,2017,Nov,3.1,2017-11,35 to 44 years,598,1036.0
1909,2018,Nov,2.9,2018-11,35 to 44 years,599,990.0
1910,2019,Nov,2.8,2019-11,35 to 44 years,600,950.0
1911,2020,Nov,5.6,2020-11,35 to 44 years,601,1911.0
1912,2021,Nov,3.8,2021-11,35 to 44 years,602,1326.0
1913,2022,Nov,2.6,2022-11,35 to 44 years,603,945.0
1914,1969,Dec,2.1,1969-12,35 to 44 years,605,354.0
1915,1970,Dec,4.3,1970-12,35 to 44 years,606,711.0
1916,1971,Dec,3.9,1971-12,35 to 44 years,607,631.0
1917,1972,Dec,2.9,1972-12,35 to 44 years,608,480.0
1918,1973,Dec,2.9,1973-12,35 to 44 years,609,472.0
1919,1974,Dec,4.6,1974-12,35 to 44 years,610,773.0
1920,1975,Dec,5.3,1975-12,35 to 44 years,611,905.0
1921,1976,Dec,4.9,1976-12,35 to 44 years,612,859.0
1922,1977,Dec,3.8,1977-12,35 to 44 years,613,696.0
1923,1978,Dec,3.7,1978-12,35 to 44 years,614,705.0
1924,1979,Dec,3.7,1979-12,35 to 44 years,615,752.0
1925,1980,Dec,4.7,1980-12,35 to 44 years,616,984.0
1926,1981,Dec,6.0,1981-12,35 to 44 years,617,1313.0
1927,1982,Dec,8.5,1982-12,35 to 44 years,618,1947.0
1928,1983,Dec,5.7,1983-12,35 to 44 years,619,1384.0
1929,1984,Dec,5.1,1984-12,35 to 44 years,620,1297.0
1930,1985,Dec,4.9,1985-12,35 to 44 years,621,1309.0
1931,1986,Dec,4.7,1986-12,35 to 44 years,622,1312.0
1932,1987,Dec,4.2,1987-12,35 to 44 years,623,1207.0
1933,1988,Dec,3.8,1988-12,35 to 44 years,624,1146.0
1934,1989,Dec,3.9,1989-12,35 to 44 years,625,1206.0
1935,1990,Dec,4.8,1990-12,35 to 44 years,626,1573.0
1936,1991,Dec,5.3,1991-12,35 to 44 years,627,1764.0
1937,1992,Dec,6.1,1992-12,35 to 44 years,628,2074.0
1938,1993,Dec,5.3,1993-12,35 to 44 years,629,1860.0
1939,1994,Dec,4.1,1994-12,35 to 44 years,630,1458.0
1940,1995,Dec,4.2,1995-12,35 to 44 years,631,1506.0
1941,1996,Dec,4.1,1996-12,35 to 44 years,632,1506.0
1942,1997,Dec,3.8,1997-12,35 to 44 years,633,1427.0
1943,1998,Dec,3.3,1998-12,35 to 44 years,634,1235.0
1944,1999,Dec,2.8,1999-12,35 to 44 years,635,1059.0
1945,2000,Dec,2.9,2000-12,35 to 44 years,636,1073.0
1946,2001,Dec,4.4,2001-12,35 to 44 years,637,1654.0
1947,2002,Dec,4.7,2002-12,35 to 44 years,638,1733.0
1948,2003,Dec,4.7,2003-12,35 to 44 years,639,1729.0
1949,2004,Dec,4.0,2004-12,35 to 44 years,640,1428.0
1950,2005,Dec,3.8,2005-12,35 to 44 years,641,1353.0
1951,2006,Dec,3.7,2006-12,35 to 44 years,642,1324.0
1952,2007,Dec,3.8,2007-12,35 to 44 years,643,1328.0
1953,2008,Dec,5.9,2008-12,35 to 44 years,644,2065.0
1954,2009,Dec,8.7,2009-12,35 to 44 years,645,2940.0
1955,2010,Dec,7.7,2010-12,35 to 44 years,646,2558.0
1956,2011,Dec,6.8,2011-12,35 to 44 years,647,2221.0
1957,2012,Dec,6.6,2012-12,35 to 44 years,648,2162.0
1958,2013,Dec,5.4,2013-12,35 to 44 years,649,1739.0
1959,2014,Dec,4.3,2014-12,35 to 44 years,650,1378.0
1960,2015,Dec,4.0,2015-12,35 to 44 years,651,1310.0
1961,2016,Dec,4.0,2016-12,35 to 44 years,652,1311.0
1962,2017,Dec,3.1,2017-12,35 to 44 years,653,1020.0
1963,2018,Dec,2.9,2018-12,35 to 44 years,654,970.0
1964,2019,Dec,2.9,2019-12,35 to 44 years,655,980.0
1965,2020,Dec,5.5,2020-12,35 to 44 years,656,1861.0
1966,2021,Dec,3.3,2021-12,35 to 44 years,657,1132.0
1967,2022,Dec,2.4,2022-12,35 to 44 years,658,862.0
1968,1969,Jan,2.1,1969-01,45 to 54 years,0,343.0
1969,1970,Jan,2.1,1970-01,45 to 54 years,1,361.0
1970,1971,Jan,3.2,1971-01,45 to 54 years,2,544.0
1971,1972,Jan,3.2,1972-01,45 to 54 years,3,543.0
1972,1973,Jan,2.7,1973-01,45 to 54 years,4,449.0
1973,1974,Jan,2.6,1974-01,45 to 54 years,5,448.0
1974,1975,Jan,4.9,1975-01,45 to 54 years,6,839.0
1975,1976,Jan,4.5,1976-01,45 to 54 years,7,766.0
1976,1977,Jan,4.5,1977-01,45 to 54 years,8,751.0
1977,1978,Jan,3.4,1978-01,45 to 54 years,9,576.0
1978,1979,Jan,3.1,1979-01,45 to 54 years,10,525.0
1979,1980,Jan,3.4,1980-01,45 to 54 years,11,574.0
1980,1981,Jan,4.1,1981-01,45 to 54 years,12,703.0
1981,1982,Jan,5.0,1982-01,45 to 54 years,13,837.0
1982,1983,Jan,6.5,1983-01,45 to 54 years,14,1083.0
1983,1984,Jan,5.1,1984-01,45 to 54 years,15,862.0
1984,1985,Jan,4.9,1985-01,45 to 54 years,16,848.0
1985,1986,Jan,4.6,1986-01,45 to 54 years,17,805.0
1986,1987,Jan,4.0,1987-01,45 to 54 years,18,718.0
1987,1988,Jan,3.5,1988-01,45 to 54 years,19,650.0
1988,1989,Jan,3.5,1989-01,45 to 54 years,20,689.0
1989,1990,Jan,3.5,1990-01,45 to 54 years,21,709.0
1990,1991,Jan,4.2,1991-01,45 to 54 years,22,857.0
1991,1992,Jan,5.1,1992-01,45 to 54 years,23,1086.0
1992,1993,Jan,5.0,1993-01,45 to 54 years,24,1140.0
1993,1994,Jan,4.2,1994-01,45 to 54 years,25,1006.0
1994,1995,Jan,3.3,1995-01,45 to 54 years,26,819.0
1995,1996,Jan,3.6,1996-01,45 to 54 years,27,930.0
1996,1997,Jan,3.2,1997-01,45 to 54 years,28,879.0
1997,1998,Jan,2.8,1998-01,45 to 54 years,29,796.0
1998,1999,Jan,2.6,1999-01,45 to 54 years,30,765.0
1999,2000,Jan,2.6,2000-01,45 to 54 years,31,808.0
2000,2001,Jan,2.7,2001-01,45 to 54 years,32,842.0
2001,2002,Jan,3.8,2002-01,45 to 54 years,33,1238.0
2002,2003,Jan,3.9,2003-01,45 to 54 years,34,1283.0
2003,2004,Jan,4.0,2004-01,45 to 54 years,35,1345.0
2004,2005,Jan,3.6,2005-01,45 to 54 years,36,1216.0
2005,2006,Jan,3.2,2006-01,45 to 54 years,37,1122.0
2006,2007,Jan,3.0,2007-01,45 to 54 years,38,1079.0
2007,2008,Jan,3.4,2008-01,45 to 54 years,39,1219.0
2008,2009,Jan,6.0,2009-01,45 to 54 years,40,2183.0
2009,2010,Jan,7.8,2010-01,45 to 54 years,41,2812.0
2010,2011,Jan,7.2,2011-01,45 to 54 years,42,2570.0
2011,2012,Jan,6.4,2012-01,45 to 54 years,43,2248.0
2012,2013,Jan,6.0,2013-01,45 to 54 years,44,2081.0
2013,2014,Jan,5.0,2014-01,45 to 54 years,45,1720.0
2014,2015,Jan,4.2,2015-01,45 to 54 years,46,1418.0
2015,2016,Jan,3.5,2016-01,45 to 54 years,47,1191.0
2016,2017,Jan,3.3,2017-01,45 to 54 years,48,1092.0
2017,2018,Jan,2.9,2018-01,45 to 54 years,49,986.0
2018,2019,Jan,2.9,2019-01,45 to 54 years,50,961.0
2019,2020,Jan,2.4,2020-01,45 to 54 years,51,777.0
2020,2021,Jan,4.9,2021-01,45 to 54 years,52,1556.0
2021,2022,Jan,2.6,2022-01,45 to 54 years,53,842.0
2022,2023,Jan,2.3,2023-01,45 to 54 years,54,750.0
2023,1969,Feb,1.9,1969-02,45 to 54 years,55,311.0
2024,1970,Feb,2.3,1970-02,45 to 54 years,56,385.0
2025,1971,Feb,3.3,1971-02,45 to 54 years,57,555.0
2026,1972,Feb,3.0,1972-02,45 to 54 years,58,516.0
2027,1973,Feb,2.8,1973-02,45 to 54 years,59,479.0
2028,1974,Feb,2.7,1974-02,45 to 54 years,60,465.0
2029,1975,Feb,4.7,1975-02,45 to 54 years,61,799.0
2030,1976,Feb,4.3,1976-02,45 to 54 years,62,733.0
2031,1977,Feb,4.3,1977-02,45 to 54 years,63,724.0
2032,1978,Feb,3.3,1978-02,45 to 54 years,64,564.0
2033,1979,Feb,3.3,1979-02,45 to 54 years,65,556.0
2034,1980,Feb,3.4,1980-02,45 to 54 years,66,584.0
2035,1981,Feb,4.1,1981-02,45 to 54 years,67,704.0
2036,1982,Feb,5.1,1982-02,45 to 54 years,68,862.0
2037,1983,Feb,6.6,1983-02,45 to 54 years,69,1107.0
2038,1984,Feb,5.0,1984-02,45 to 54 years,70,835.0
2039,1985,Feb,4.8,1985-02,45 to 54 years,71,831.0
2040,1986,Feb,4.4,1986-02,45 to 54 years,72,770.0
2041,1987,Feb,4.4,1987-02,45 to 54 years,73,788.0
2042,1988,Feb,3.7,1988-02,45 to 54 years,74,692.0
2043,1989,Feb,3.1,1989-02,45 to 54 years,75,617.0
2044,1990,Feb,3.2,1990-02,45 to 54 years,76,651.0
2045,1991,Feb,4.5,1991-02,45 to 54 years,77,921.0
2046,1992,Feb,5.3,1992-02,45 to 54 years,78,1141.0
2047,1993,Feb,4.9,1993-02,45 to 54 years,79,1109.0
2048,1994,Feb,4.4,1994-02,45 to 54 years,80,1051.0
2049,1995,Feb,3.4,1995-02,45 to 54 years,81,852.0
2050,1996,Feb,3.4,1996-02,45 to 54 years,82,880.0
2051,1997,Feb,3.2,1997-02,45 to 54 years,83,860.0
2052,1998,Feb,3.1,1998-02,45 to 54 years,84,861.0
2053,1999,Feb,2.8,1999-02,45 to 54 years,85,803.0
2054,2000,Feb,2.4,2000-02,45 to 54 years,86,730.0
2055,2001,Feb,2.8,2001-02,45 to 54 years,87,897.0
2056,2002,Feb,3.9,2002-02,45 to 54 years,88,1273.0
2057,2003,Feb,4.0,2003-02,45 to 54 years,89,1320.0
2058,2004,Feb,3.9,2004-02,45 to 54 years,90,1304.0
2059,2005,Feb,3.5,2005-02,45 to 54 years,91,1209.0
2060,2006,Feb,3.2,2006-02,45 to 54 years,92,1121.0
2061,2007,Feb,3.2,2007-02,45 to 54 years,93,1131.0
2062,2008,Feb,3.4,2008-02,45 to 54 years,94,1219.0
2063,2009,Feb,6.4,2009-02,45 to 54 years,95,2325.0
2064,2010,Feb,7.6,2010-02,45 to 54 years,96,2725.0
2065,2011,Feb,7.1,2011-02,45 to 54 years,97,2506.0
2066,2012,Feb,6.5,2012-02,45 to 54 years,98,2285.0
2067,2013,Feb,5.6,2013-02,45 to 54 years,99,1932.0
2068,2014,Feb,5.1,2014-02,45 to 54 years,100,1735.0
2069,2015,Feb,3.9,2015-02,45 to 54 years,101,1333.0
2070,2016,Feb,3.5,2016-02,45 to 54 years,102,1193.0
2071,2017,Feb,3.1,2017-02,45 to 54 years,103,1052.0
2072,2018,Feb,2.8,2018-02,45 to 54 years,104,949.0
2073,2019,Feb,2.8,2019-02,45 to 54 years,105,921.0
2074,2020,Feb,2.5,2020-02,45 to 54 years,106,805.0
2075,2021,Feb,4.9,2021-02,45 to 54 years,107,1565.0
2076,2022,Feb,2.5,2022-02,45 to 54 years,108,799.0
2077,2023,Feb,2.6,2023-02,45 to 54 years,109,858.0
2078,1969,Mar,1.8,1969-03,45 to 54 years,110,305.0
2079,1970,Mar,2.7,1970-03,45 to 54 years,111,454.0
2080,1971,Mar,3.4,1971-03,45 to 54 years,112,572.0
2081,1972,Mar,3.1,1972-03,45 to 54 years,113,525.0
2082,1973,Mar,2.7,1973-03,45 to 54 years,114,451.0
2083,1974,Mar,2.7,1974-03,45 to 54 years,115,456.0
2084,1975,Mar,5.1,1975-03,45 to 54 years,116,868.0
2085,1976,Mar,4.3,1976-03,45 to 54 years,117,734.0
2086,1977,Mar,4.4,1977-03,45 to 54 years,118,748.0
2087,1978,Mar,3.2,1978-03,45 to 54 years,119,537.0
2088,1979,Mar,3.3,1979-03,45 to 54 years,120,558.0
2089,1980,Mar,3.6,1980-03,45 to 54 years,121,602.0
2090,1981,Mar,4.0,1981-03,45 to 54 years,122,681.0
2091,1982,Mar,5.5,1982-03,45 to 54 years,123,924.0
2092,1983,Mar,6.5,1983-03,45 to 54 years,124,1085.0
2093,1984,Mar,4.8,1984-03,45 to 54 years,125,808.0
2094,1985,Mar,5.0,1985-03,45 to 54 years,126,868.0
2095,1986,Mar,4.6,1986-03,45 to 54 years,127,807.0
2096,1987,Mar,4.2,1987-03,45 to 54 years,128,754.0
2097,1988,Mar,3.2,1988-03,45 to 54 years,129,598.0
2098,1989,Mar,3.3,1989-03,45 to 54 years,130,651.0
2099,1990,Mar,3.2,1990-03,45 to 54 years,131,641.0
2100,1991,Mar,4.6,1991-03,45 to 54 years,132,942.0
2101,1992,Mar,5.3,1992-03,45 to 54 years,133,1143.0
2102,1993,Mar,5.1,1993-03,45 to 54 years,134,1157.0
2103,1994,Mar,4.0,1994-03,45 to 54 years,135,965.0
2104,1995,Mar,3.5,1995-03,45 to 54 years,136,877.0
2105,1996,Mar,3.4,1996-03,45 to 54 years,137,876.0
2106,1997,Mar,3.1,1997-03,45 to 54 years,138,847.0
2107,1998,Mar,2.9,1998-03,45 to 54 years,139,823.0
2108,1999,Mar,2.5,1999-03,45 to 54 years,140,736.0
2109,2000,Mar,2.2,2000-03,45 to 54 years,141,684.0
2110,2001,Mar,2.8,2001-03,45 to 54 years,142,905.0
2111,2002,Mar,3.9,2002-03,45 to 54 years,143,1265.0
2112,2003,Mar,4.4,2003-03,45 to 54 years,144,1465.0
2113,2004,Mar,4.1,2004-03,45 to 54 years,145,1362.0
2114,2005,Mar,3.4,2005-03,45 to 54 years,146,1177.0
2115,2006,Mar,3.2,2006-03,45 to 54 years,147,1106.0
2116,2007,Mar,3.1,2007-03,45 to 54 years,148,1095.0
2117,2008,Mar,3.5,2008-03,45 to 54 years,149,1252.0
2118,2009,Mar,6.8,2009-03,45 to 54 years,150,2446.0
2119,2010,Mar,7.9,2010-03,45 to 54 years,151,2846.0
2120,2011,Mar,7.2,2011-03,45 to 54 years,152,2541.0
2121,2012,Mar,6.3,2012-03,45 to 54 years,153,2218.0
2122,2013,Mar,5.7,2013-03,45 to 54 years,154,1960.0
2123,2014,Mar,4.9,2014-03,45 to 54 years,155,1688.0
2124,2015,Mar,3.7,2015-03,45 to 54 years,156,1264.0
2125,2016,Mar,3.6,2016-03,45 to 54 years,157,1211.0
2126,2017,Mar,3.1,2017-03,45 to 54 years,158,1052.0
2127,2018,Mar,2.9,2018-03,45 to 54 years,159,953.0
2128,2019,Mar,2.9,2019-03,45 to 54 years,160,947.0
2129,2020,Mar,3.2,2020-03,45 to 54 years,161,1043.0
2130,2021,Mar,4.5,2021-03,45 to 54 years,162,1445.0
2131,2022,Mar,2.2,2022-03,45 to 54 years,163,723.0
2132,2023,Mar,2.4,2023-03,45 to 54 years,164,785.0
2133,1969,Apr,1.9,1969-04,45 to 54 years,165,312.0
2134,1970,Apr,2.5,1970-04,45 to 54 years,166,430.0
2135,1971,Apr,3.4,1971-04,45 to 54 years,167,582.0
2136,1972,Apr,3.0,1972-04,45 to 54 years,168,503.0
2137,1973,Apr,2.8,1973-04,45 to 54 years,169,483.0
2138,1974,Apr,2.6,1974-04,45 to 54 years,170,449.0
2139,1975,Apr,5.2,1975-04,45 to 54 years,171,887.0
2140,1976,Apr,4.3,1976-04,45 to 54 years,172,735.0
2141,1977,Apr,4.1,1977-04,45 to 54 years,173,688.0
2142,1978,Apr,3.0,1978-04,45 to 54 years,174,511.0
2143,1979,Apr,3.5,1979-04,45 to 54 years,175,584.0
2144,1980,Apr,3.8,1980-04,45 to 54 years,176,649.0
2145,1981,Apr,3.6,1981-04,45 to 54 years,177,607.0
2146,1982,Apr,5.3,1982-04,45 to 54 years,178,892.0
2147,1983,Apr,6.8,1983-04,45 to 54 years,179,1138.0
2148,1984,Apr,4.8,1984-04,45 to 54 years,180,810.0
2149,1985,Apr,5.2,1985-04,45 to 54 years,181,897.0
2150,1986,Apr,4.5,1986-04,45 to 54 years,182,787.0
2151,1987,Apr,4.0,1987-04,45 to 54 years,183,728.0
2152,1988,Apr,3.4,1988-04,45 to 54 years,184,645.0
2153,1989,Apr,3.3,1989-04,45 to 54 years,185,654.0
2154,1990,Apr,3.4,1990-04,45 to 54 years,186,691.0
2155,1991,Apr,4.3,1991-04,45 to 54 years,187,900.0
2156,1992,Apr,5.2,1992-04,45 to 54 years,188,1146.0
2157,1993,Apr,5.2,1993-04,45 to 54 years,189,1189.0
2158,1994,Apr,3.9,1994-04,45 to 54 years,190,936.0
2159,1995,Apr,3.4,1995-04,45 to 54 years,191,846.0
2160,1996,Apr,3.6,1996-04,45 to 54 years,192,931.0
2161,1997,Apr,3.0,1997-04,45 to 54 years,193,813.0
2162,1998,Apr,2.8,1998-04,45 to 54 years,194,784.0
2163,1999,Apr,2.6,1999-04,45 to 54 years,195,758.0
2164,2000,Apr,2.1,2000-04,45 to 54 years,196,646.0
2165,2001,Apr,2.9,2001-04,45 to 54 years,197,916.0
2166,2002,Apr,4.0,2002-04,45 to 54 years,198,1307.0
2167,2003,Apr,4.2,2003-04,45 to 54 years,199,1395.0
2168,2004,Apr,4.0,2004-04,45 to 54 years,200,1336.0
2169,2005,Apr,3.3,2005-04,45 to 54 years,201,1126.0
2170,2006,Apr,3.2,2006-04,45 to 54 years,202,1111.0
2171,2007,Apr,3.1,2007-04,45 to 54 years,203,1116.0
2172,2008,Apr,3.7,2008-04,45 to 54 years,204,1326.0
2173,2009,Apr,6.7,2009-04,45 to 54 years,205,2428.0
2174,2010,Apr,7.8,2010-04,45 to 54 years,206,2833.0
2175,2011,Apr,7.2,2011-04,45 to 54 years,207,2550.0
2176,2012,Apr,6.2,2012-04,45 to 54 years,208,2180.0
