yearAndMonth,Year,Month,Unemployment(in thousands)
1985-02,1985,Feb,78
1985-03,1985,Mar,78
1985-04,1985,Apr,78
1985-05,1985,May,78
1985-06,1985,Jun,78
1985-07,1985,Jul,77
1985-08,1985,Aug,78
1985-09,1985,Sep,78
1985-10,1985,Oct,78
1985-11,1985,Nov,78
1985-12,1985,Dec,78
1986-01,1986,Jan,78
1986-02,1986,Feb,78
1986-03,1986,Mar,78
1986-04,1986,Apr,78
1986-05,1986,May,78
1986-06,1986,Jun,78
1986-07,1986,Jul,78
1986-08,1986,Aug,78
1986-09,1986,Sep,78
1986-10,1986,Oct,78
1986-11,1986,Nov,78
1986-12,1986,Dec,78
1987-01,1987,Jan,78
1987-02,1987,Feb,78
1987-03,1987,Mar,78
1987-04,1987,Apr,78
1987-05,1987,May,78
1987-06,1987,Jun,78
1987-07,1987,Jul,78
1987-08,1987,Aug,78
1987-09,1987,Sep,77
1987-10,1987,Oct,78
1987-11,1987,Nov,78
1987-12,1987,Dec,77
1988-01,1988,Jan,77
1988-02,1988,Feb,78
1988-03,1988,Mar,77
1988-04,1988,Apr,78
1988-05,1988,May,78
1988-06,1988,Jun,77
1988-07,1988,Jul,77
1988-08,1988,Aug,78
1988-09,1988,Sep,77
1988-10,1988,Oct,77
1988-11,1988,Nov,77
1988-12,1988,Dec,77
1989-01,1989,Jan,78
1989-02,1989,Feb,78
1989-03,1989,Mar,78
1989-04,1989,Apr,78
1989-05,1989,May,77
1989-06,1989,Jun,78
1989-07,1989,Jul,78
1989-08,1989,Aug,78
1989-09,1989,Sep,77
1989-10,1989,Oct,78
1989-11,1989,Nov,78
1989-12,1989,Dec,78
1990-01,1990,Jan,78
1990-02,1990,Feb,78
1990-03,1990,Mar,78
1990-04,1990,Apr,78
1990-05,1990,May,78
1990-06,1990,Jun,78
1990-07,1990,Jul,78
1990-08,1990,Aug,78
1990-09,1990,Sep,78
1990-10,1990,Oct,78
1990-11,1990,Nov,78
1990-12,1990,Dec,78
1991-01,1991,Jan,77
1991-02,1991,Feb,77
1991-03,1991,Mar,78
1991-04,1991,Apr,78
1991-05,1991,May,77
1991-06,1991,Jun,77
1991-07,1991,Jul,77
1991-08,1991,Aug,77
1991-09,1991,Sep,77
1991-10,1991,Oct,77
1991-11,1991,Nov,77
1991-12,1991,Dec,77
1992-01,1992,Jan,77
1992-02,1992,Feb,77
1992-03,1992,Mar,77
1992-04,1992,Apr,77
1992-05,1992,May,78
1992-06,1992,Jun,78
1992-07,1992,Jul,77
1992-08,1992,Aug,77
1992-09,1992,Sep,77
1992-10,1992,Oct,77
1992-11,1992,Nov,77
1992-12,1992,Dec,77
1993-01,1993,Jan,77
1993-02,1993,Feb,77
1993-03,1993,Mar,77
1993-04,1993,Apr,77
1993-05,1993,May,77
1993-06,1993,Jun,77
1993-07,1993,Jul,77
1993-08,1993,Aug,77
1993-09,1993,Sep,77
1993-10,1993,Oct,77
1993-11,1993,Nov,77
1993-12,1993,Dec,76
1994-01,1994,Jan,77
1994-02,1994,Feb,76
1994-03,1994,Mar,76
1994-04,1994,Apr,76
1994-05,1994,May,76
1994-06,1994,Jun,76
1994-07,1994,Jul,76
1994-08,1994,Aug,76
1994-09,1994,Sep,76
1994-10,1994,Oct,76
1994-11,1994,Nov,77
