yearAndMonth,Year,Month,Unemployment(in thousands)
1999-03,1999,Mar,74
1999-04,1999,Apr,74
1999-05,1999,May,73
1999-06,1999,Jun,74
1999-07,1999,Jul,74
1999-08,1999,Aug,73
1999-09,1999,Sep,74
1999-10,1999,Oct,73
1999-11,1999,Nov,74
1999-12,1999,Dec,74
2000-01,2000,Jan,74
2000-02,2000,Feb,74
2000-03,2000,Mar,74
2000-04,2000,Apr,74
2000-05,2000,May,74
2000-06,2000,Jun,74
2000-07,2000,Jul,74
2000-08,2000,Aug,74
2000-09,2000,Sep,74
2000-10,2000,Oct,73
2000-11,2000,Nov,74
2000-12,2000,Dec,74
2001-01,2001,Jan,74
2001-02,2001,Feb,73
2001-03,2001,Mar,73
2001-04,2001,Apr,73
2001-05,2001,May,73
2001-06,2001,Jun,73
2001-07,2001,Jul,73
2001-08,2001,Aug,73
2001-09,2001,Sep,73
2001-10,2001,Oct,72
2001-11,2001,Nov,72
2001-12,2001,Dec,72
2002-01,2002,Jan,72
2002-02,2002,Feb,72
2002-03,2002,Mar,72
2002-04,2002,Apr,72
2002-05,2002,May,72
2002-06,2002,Jun,72
2002-07,2002,Jul,72
2002-08,2002,Aug,72
2002-09,2002,Sep,72
2002-10,2002,Oct,72
2002-11,2002,Nov,71
2002-12,2002,Dec,71
2003-01,2003,Jan,71
2003-02,2003,Feb,71
2003-03,2003,Mar,71
2003-04,2003,Apr,71
2003-05,2003,May,71
2003-06,2003,Jun,71
2003-07,2003,Jul,71
2003-08,2003,Aug,71
2003-09,2003,Sep,71
2003-10,2003,Oct,71
2003-11,2003,Nov,71
2003-12,2003,Dec,71
2004-01,2004,Jan,72
2004-02,2004,Feb,71
2004-03,2004,Mar,71
2004-04,2004,Apr,71
2004-05,2004,May,71
2004-06,2004,Jun,72
2004-07,2004,Jul,72
2004-08,2004,Aug,72
2004-09,2004,Sep,71
2004-10,2004,Oct,71
2004-11,2004,Nov,72
2004-12,2004,Dec,72
2005-01,2005,Jan,71
2005-02,2005,Feb,72
2005-03,2005,Mar,72
2005-04,2005,Apr,72
2005-05,2005,May,72
2005-06,2005,Jun,72
2005-07,2005,Jul,72
2005-08,2005,Aug,72
2005-09,2005,Sep,72
2005-10,2005,Oct,72
2005-11,2005,Nov,72
2005-12,2005,Dec,72
2006-01,2006,Jan,72
2006-02,2006,Feb,72
2006-03,2006,Mar,72
2006-04,2006,Apr,72
2006-05,2006,May,72
2006-06,2006,Jun,72
2006-07,2006,Jul,72
2006-08,2006,Aug,72
2006-09,2006,Sep,73
2006-10,2006,Oct,73
2006-11,2006,Nov,73
2006-12,2006,Dec,73
2007-01,2007,Jan,73
2007-02,2007,Feb,73
2007-03,2007,Mar,73
2007-04,2007,Apr,73
2007-05,2007,May,72
2007-06,2007,Jun,72
2007-07,2007,Jul,72
2007-08,2007,Aug,72
2007-09,2007,Sep,72
2007-10,2007,Oct,72
2007-11,2007,Nov,72
2007-12,2007,Dec,72
2008-01,2008,Jan,72
2008-02,2008,Feb,72
2008-03,2008,Mar,72
2008-04,2008,Apr,72
2008-05,2008,May,71
2008-06,2008,Jun,71
2008-07,2008,Jul,71
2008-08,2008,Aug,71
2008-09,2008,Sep,71
2008-10,2008,Oct,70
2008-11,2008,Nov,70
2008-12,2008,Dec,69
2009-01,2009,Jan,69
2009-02,2009,Feb,68
2009-03,2009,Mar,68
2009-04,2009,Apr,68
2009-05,2009,May,67
2009-06,2009,Jun,67
2009-07,2009,Jul,67
2009-08,2009,Aug,67
2009-09,2009,Sep,67
2009-10,2009,Oct,66
2009-11,2009,Nov,66
2009-12,2009,Dec,66
2010-01,2010,Jan,66
2010-02,2010,Feb,66
2010-03,2010,Mar,66
2010-04,2010,Apr,67
2010-05,2010,May,67
2010-06,2010,Jun,67
2010-07,2010,Jul,67
2010-08,2010,Aug,67
2010-09,2010,Sep,67
2010-10,2010,Oct,66
2010-11,2010,Nov,66
2010-12,2010,Dec,66
2011-01,2011,Jan,66
2011-02,2011,Feb,66
2011-03,2011,Mar,66
2011-04,2011,Apr,66
2011-05,2011,May,67
2011-06,2011,Jun,66
2011-07,2011,Jul,66
2011-08,2011,Aug,67
2011-09,2011,Sep,67
2011-10,2011,Oct,67
2011-11,2011,Nov,67
2011-12,2011,Dec,67
2012-01,2012,Jan,67
2012-02,2012,Feb,67
2012-03,2012,Mar,67
2012-04,2012,Apr,67
2012-05,2012,May,67
2012-06,2012,Jun,67
2012-07,2012,Jul,67
2012-08,2012,Aug,67
2012-09,2012,Sep,67
2012-10,2012,Oct,67
2012-11,2012,Nov,67
2012-12,2012,Dec,67
2013-01,2013,Jan,67
2013-02,2013,Feb,67
2013-03,2013,Mar,67
2013-04,2013,Apr,67
2013-05,2013,May,67
2013-06,2013,Jun,67
2013-07,2013,Jul,67
2013-08,2013,Aug,67
2013-09,2013,Sep,67
2013-10,2013,Oct,66
2013-11,2013,Nov,67
2013-12,2013,Dec,67
2014-01,2014,Jan,67
2014-02,2014,Feb,67
2014-03,2014,Mar,67
2014-04,2014,Apr,67
2014-05,2014,May,67
2014-06,2014,Jun,67
2014-07,2014,Jul,67
2014-08,2014,Aug,68
2014-09,2014,Sep,68
2014-10,2014,Oct,68
2014-11,2014,Nov,67
2014-12,2014,Dec,68
2015-01,2015,Jan,68
2015-02,2015,Feb,68
2015-03,2015,Mar,68
2015-04,2015,Apr,68
2015-05,2015,May,68
2015-06,2015,Jun,68
2015-07,2015,Jul,68
2015-08,2015,Aug,68
2015-09,2015,Sep,68
2015-10,2015,Oct,68
2015-11,2015,Nov,67
2015-12,2015,Dec,68
2016-01,2016,Jan,68
2016-02,2016,Feb,68
2016-03,2016,Mar,68
2016-04,2016,Apr,68
2016-05,2016,May,68
2016-06,2016,Jun,68
2016-07,2016,Jul,68
2016-08,2016,Aug,68
2016-09,2016,Sep,68
2016-10,2016,Oct,68
2016-11,2016,Nov,68
2016-12,2016,Dec,68
2017-01,2017,Jan,68
2017-02,2017,Feb,68
2017-03,2017,Mar,68
2017-04,2017,Apr,68
2017-05,2017,May,68
2017-06,2017,Jun,68
2017-07,2017,Jul,68
2017-08,2017,Aug,68
2017-09,2017,Sep,69
2017-10,2017,Oct,68
2017-11,2017,Nov,68
2017-12,2017,Dec,68
2018-01,2018,Jan,68
2018-02,2018,Feb,69
2018-03,2018,Mar,69
2018-04,2018,Apr,69
2018-05,2018,May,69
2018-06,2018,Jun,69
2018-07,2018,Jul,69
